Prabhag 11A : Sharda Orase,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance,Attendance percentage,,,,,,,,,,,,,,,,,,,
2012 - 2013,1,Jute bags,184000,J,5,47/66,71.21,,,,,,,,,,,,,,,,,,,
2012 - 2013,2,Waste Disposal ,55000,WD,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,3,Drainage work/ Laying of Drainage line,99000,D,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,4,Direction/Information/Sign Boards,157000,N,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,5,Benches,156000,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,6,Drainage work+ Concretisation,66000,D,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,7,Building of Bus stop,199000,BS,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,8,Building of Bus stop,199000,BS,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,9,Dustbin distribution/ Buckets,200000,DB,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,10,Benches,151000,B,,,,,,,,,,,,,,,,,,,,,,
,,Total,1466000,,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,1,Colouring roads/ Railing Work/Road Work,149000,R,0,66/77,85.71,,,,,,,,,,,,,,,,,,,
2013 - 2014,2,Colouring roads/ Railing Work/Road Work,148000,R,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,3,Benches,156000,B,,,,,,,,,,,,,,,,,,,,,,
,,Total,453000,,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,1,Water supply,143000,W,0,107/116,92.24,,,,,,,,,,,,,,,,,,,
2014 - 2015,2,Making Speedbreakers,129000,R,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,3,Making Speedbreakers,147000,R,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,4,Waste Disposal ,146000,WD,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,5,Drainage work+ Concretisation,145000,D,,,,,,,,,,,,,,,,,,,,,,
,,Total,710000,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,1,Drainage work/ Laying of Drainage line,176000,D,0,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,2,Waste Disposal ,180000,WD,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,3,Gym/ gym equipments,160000,GY,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,4,Develpoment Work,113000,DW,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,5,Benches,155000,B,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,6,"Electrification, new street lights",135000,E,,,,,,,,,,,,,,,,,,,,,,
,,Total,919000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
