"Prabhag 14B : Sanjay Bhosale","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance"
"2012 - 2013","1","Electrification","119902","E","0",""
"2012 - 2013","2","Electrification","127155","E","",""
"2012 - 2013","3","Electrification","123119","E","",""
"2012 - 2013","4","Garden work","","G","",""
"2012 - 2013","5","Garden work","","G","",""
"2012 - 2013","6","Electrification","125137","E","",""
"2012 - 2013","7","Electrification, new street lights","127154","E","",""
"","","Total","622467","","",""
"2013 - 2014","1","","","","1",""
"2013 - 2014","2","","","","",""
"2013 - 2014","3","","","","",""
"2013 - 2014","4","","","","",""
"","","Total","0","","",""
"2014 - 2015","1","Samaj Mandir/ Related work/ Renovation","139121","SM","0",""
"2014 - 2015","2","","","","",""
"2014 - 2015","3","","","","",""
"2014 - 2015","4","","","","",""
"","","Total","139121","","",""
"2015 - 2016","1","Drainage work","197000","D","0",""
"2015 - 2016","2","School developement Work","198000","DW","",""
"2015 - 2016","3","Electrification","132000","E","",""
"2015 - 2016","4","Electrification, new street lights","95000","E","",""
"2015 - 2016","5","Electrification, new street lights","115000","E","",""
"2015 - 2016","6","","135000","","",""
"","","Total","872000","","",""
"","","","","","",""
"","","","","","1",""
