"Prabhag 15A : Shashikala arde","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance"
"2012 - 2013","1","Drainage work/ Laying of Drainage line","","D","0",""
"2012 - 2013","2","Samaj Mandir/ Related work/ Renovation","","SM","",""
"2012 - 2013","3","Electrification, new street lights","130892","E","",""
"2012 - 2013","4","Electrification, new street lights","131835","E","",""
"2012 - 2013","5","Benches","","B","",""
"2012 - 2013","6","Concretization","108178","C","",""
"2012 - 2013","7","Drainage work/ Laying of Drainage line","92617","D","",""
"2012 - 2013","8","Drainage work/ Laying of Drainage line","101291","D","",""
"2012 - 2013","9","Colouring roads/ Railing Work/Road Work/other colouring work","130008","R","",""
"2012 - 2013","10","Concretization","98705","C","",""
"2012 - 2013","11","Colouring roads/ Railing Work/Road Work/other colouring work","132706","R","",""
"2012 - 2013","12","","","","",""
"","","Total","926232","","",""
"2013 - 2014","1","","","","0",""
"2013 - 2014","2","","","","",""
"2013 - 2014","3","","","","",""
"2013 - 2014","4","","","","",""
"","","Total","0","","",""
"2014 - 2015","1","","","","0",""
"2014 - 2015","2","","","","",""
"2014 - 2015","3","","","","",""
"2014 - 2015","4","","","","",""
"","","Total","0","","",""
"2015 - 2016","1","Concretization","71000","C","0",""
"2015 - 2016","2","","168000","","",""
"2015 - 2016","3","Water supply","168000","W","",""
"2015 - 2016","4","Samaj Mandir/ Related work/ Renovation","84000","SM","",""
"2015 - 2016","5","Concretization","70000","C","",""
"2015 - 2016","6","","","","",""
"","","Total","561000","","",""
