"Prabhag 15B : Kishor Vitkar","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance"
"2012 - 2013","1","Benches","96756","B","0",""
"2012 - 2013","2","Colouring of Tiles","76337","CT","",""
"2012 - 2013","3","Drainage work/ Laying of Drainage line","105307","D","",""
"2012 - 2013","4","Electrification, new street lights","144025","E","",""
"2012 - 2013","5","","","","",""
"","","Total","422425","","",""
"2013 - 2014","1","","","","0",""
"2013 - 2014","2","","","","",""
"2013 - 2014","3","","","","",""
"2013 - 2014","4","","","","",""
"","","Total","0","","",""
"2014 - 2015","1","","","","0",""
"2014 - 2015","2","","","","",""
"2014 - 2015","3","","","","",""
"2014 - 2015","4","","","","",""
"","","Total","0","","",""
"2015 - 2016","1","Samaj Mandir/ Related work/ Renovation","154000","SM","0",""
"2015 - 2016","2","Benches","198000","B","",""
"2015 - 2016","3","","86000","","",""
"2015 - 2016","4","","","","",""
"","","Total","438000","","",""
