"Prabhag 20A : Chanchala Kodre","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Installation of Nameplates","102570","N","5","55/66","83.33"
"2012 - 2013","2","Benches","148630","B","","",""
"2012 - 2013","3","Dustbin distribution/ Buckets","200000","DB","","",""
"2012 - 2013","4","Drainage work","102439","D","","",""
"2012 - 2013","5","Concretization ","200000","C","","",""
"2012 - 2013","6","Garden work","200000","G","","",""
"","","Total","953639","","","",""
"2013 - 2014","1","Concretization ","149770","C","9","71/77","92.2"
"","2","Jute bags","200000","J","","",""
"2013 - 2014","3","Benches","149905","B","","",""
"2013 - 2014","5","Benches","140428","B","","",""
"2013 - 2014","6","Drainage work/ Laying of Drainage line","142375","D","","",""
"2013 - 2014","7","Building of Toilets","184115","TO","","",""
"2013 - 2014","8","Electrification, new street lights","149201","E","","",""
"2013 - 2014","9","Electrification","152082","E","","",""
"","","Total","1267876","","","",""
"2014 - 2015","1","Concretization ","184340","C","1","99/116","85.34"
"2014 - 2015","2","Drainage work/ Laying of Drainage line","142702","D","","",""
"2014 - 2015","3","Concretization ","190700","C","","",""
"2014 - 2015","4","Benches","196761","B","","",""
"2014 - 2015","5","Pavement Blocks/Grouting","193667","P","","",""
"2014 - 2015","6","Concretization ","190674","C","","",""
"2014 - 2015","7","Electrification","200000","E","","",""
"2014 - 2015","8","Drainage work/ Laying of Drainage line","169011","D","","",""
"2014 - 2015","9","Electrfication","154334","E","","",""
"2014 - 2015","10","Pavement blocks","196719","P","","",""
"","","Total","1818908","","","",""
"2015 - 2016","1","Electrification, new street lights","164392","E","5","104/127",""
"2015 - 2016","2"," Water Supply","99939","W","","",""
"2015 - 2016","3","Drainage work/ Laying of Drainage line","159683","D","","",""
"2015 - 2016","4","Drainage work/ Laying of Drainage line","155629","D","","",""
"2015 - 2016","5","Benches","163859","B","","",""
"2015 - 2016","6","Pavement blcoks/Grouting","154171","P","","",""
"2015 - 2016","7","Electrfication","200000","E","","",""
"2015 - 2016","8","Building Library/ Books for library","155000","L","","",""
"","","Total","1252673","","","",""
"","","","","","","",""
"","","Final Total","5293096","","20","","86.956666666667"
