Prabhag 22A : Name of the corporator,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance
2012 - 2013,1,Fire brigade waterproofing,132045,FB,,
2012 - 2013,2,Benches,167117,B,,
2012 - 2013,3,Drainage work,62843,D,,
2012 - 2013,4,Toilet Renovation,78879,TO,,
2012 - 2013,5,Drainage work+ Concretisation,140777,D+C,,
2012 - 2013,6,Drainage work+ Concretisation,148635,D+C,,
2012 - 2013,7,Toilet Renovation and related work,188556,TO,,
2012 - 2013,8,Toilet Renovation and related work,99607,TO,,
2012 - 2013,9,Building of Shed for senior citizens,200000,BSS,,
2012 - 2013,10,Building of Bus stop,200000,BBT,,
,,Total,1418459,,,
2013 - 2014,1,Laying of Tiles+Concretisation,147380,T+C,,
2013 - 2014,2,Develpoment Work,147107,DW,,
2013 - 2014,3,Benches,156752,B,,
2013 - 2014,4,Dustbin distribution/ Buckets,200000,DB,,
2013 - 2014,5,Building of Bus stop,145427,BBT,,
2013 - 2014,6,Building of Bus stop,132390,BBT,,
2013 - 2014,7,Wheelbarrow purchasing,200000,WBP,,
2013 - 2014,8,,182425,,,
2013 - 2014,9,Fire brigade interlocking block,156170,FBI,,
2013 - 2014,10,,141496,,,
,,Total,1609147,,,
2014 - 2015,1,Develpoment Work,193948,DW,,
2014 - 2015,2,Benches,198513,B,,
2014 - 2015,3,Computers,200000,CO,,
2014 - 2015,4,Computers,200000,CO,,
2014 - 2015,5,Dustbin distribution/ Buckets,200000,DB,,
2014 - 2015,6,Samaj Mandir/ Related work/ Renovation,181582,SM,,
2014 - 2015,7,Samaj Mandir/ Related work/ Renovation,199294,SM,,
2014 - 2015,8,Electrification,183470,E,,
2014 - 2015,9,Water supply/Waterproofing,171196,W,,
2014 - 2015,10,Benches,16289,B,,
2014 - 2015,11,Wheelbarrow ,200000,WB,,
2014 - 2015,12,Samaj Mandir/ Related work/ Renovation,200000,SM,,
2014 - 2015,13,Samaj Mandir/ Related work/ Renovation,200000,SM,,
,,Total,2344292,,,
,,,,,,
2015 - 2016,1,,,,,
2015 - 2016,2,,,,,
2015 - 2016,3,,,,,
2015 - 2016,4,,,,,
,,Total,0,,,
