"Prabhag 24A : Nilima D Khade","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","155000","B","2","57/66","86.36"
"2012 - 2013","2","Drainage work+ Concretisation","199000","D","","",""
"2012 - 2013","3","Direction/Information/Sign Boards","192000","N","","",""
"2012 - 2013","4","Colouring of Tiles and walls","183000","CT","","",""
"2012 - 2013","5","Colouring of Tiles and walls","177000","CT","","",""
"","","Total","906000","","","",""
"2013 - 2014","1","Direction/Information/Sign Boards","159000","N","0","71/77","92.2"
"2013 - 2014","2","Direction/Information/Sign Boards","159000","N","","",""
"2013 - 2014","3","Direction/Information/Sign Boards","159000","N","","",""
"2013 - 2014","4","Benches","157000","B","","",""
"2013 - 2014","5","Concretization ","132000","C","","",""
"","","Total","766000","","","",""
"2014 - 2015","1","","","","0","105/116","90.51"
"2014 - 2015","2","","","","","",""
"2014 - 2015","3","","","","","",""
"2014 - 2015","4","","","","","",""
"2014 - 2015","5","","","","","",""
"2014 - 2015","6","","","","","",""
"2014 - 2015","7","","","","","",""
"","","Total","0","","","",""
"2015 - 2016","1","Samaj Mandir/ any building related work/ Renovation / Temple shed ","170000","SM","0","118/127","92.91"
"2015 - 2016","2","Furniture work","122000","FW","","",""
"2015 - 2016","3","Fencing, walls","136000","FE","","",""
"2015 - 2016","4","Pavement blocks / Grouting","157000","P","","",""
"2015 - 2016","5","Pavement blocks / Grouting","164000","P","","",""
"2015 - 2016","6","Pavement blocks / Grouting","107000","P","","",""
"2015 - 2016","7","Pavement blocks / Grouting","128000","P","","",""
"2015 - 2016","8","Pavement blocks / Grouting","157000","P","","",""
"","","Total","1141000","","","",""
"","","","","","","",""
"","","Final Total","2813000","","2","","91.71"
