Prabhag 30 B : Sachin Dodke,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance,,,,,,,,,,,,,,,,,,,,
2012 - 2013,1,Benches at various places,81556.36,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,2,Benches at various places,131540.6,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,3,Benches at various places,156323.78,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,4,Benches at various places,179316.23,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,5,Drainage chambers cleaning,85229.57,D,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,6,Computers in School,196880,CO,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,7,Installation of Nameplates and direction boards,149819.8,N,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,8,Water supply line,75972.39,W,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,9,Water supply line,156352.6,W,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,10,Electrification work in school,112445.95,E,,,,,,,,,,,,,,,,,,,,,,
,,Total,1325437.28,,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,1,Drainage chambers cleaning,177593.88,D,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,2,Benches at various places,155705.84,B,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,3,Benches at various places,156700.47,B,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,4,Benches at various places,157616.59,B,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,5,Benches at various places,155725.55,B,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,6,Electrification work- Street lights,133147.49,E,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,7,Drainage line and chambers repairing,138323.24,D,,,,,,,,,,,,,,,,,,,,,,
,,Total,1074813.06,,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,1,Drainage line and chambers repairing,150438.66,D,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,2,Electrification work- Street lights,146938.01,E,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,3,Benches at various places,149446.97,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,4,Benches at various places,150438.66,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,5,Drainage line and chambers repairing,162873.99,D,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,6,Drainage line and chambers repairing,195602.25,D,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,7,Benches at various places,195765.63,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,8,Benches at various places,195765.63,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,4,Installation of Nameplates and direction boards,199560.22,N,,,,,,,,,,,,,,,,,,,,,,
