Prabhag 35 A : Prashant Badhe,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance,,,,,,,,,,,,,,,,,,,,
2012 - 2013,1,Benches at various places,129578.46,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,2,Installation of Nameplates and direction boards,148865.81,N,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,3,Installation of Nameplates and direction boards,149079.54,N,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,4,Benches at various places,113986.53,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,5,Benches at various places,132395.8,B,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,6,Waste disposal,72691.6,WD,,,,,,,,,,,,,,,,,,,,,,
2012 - 2013,7,Waste disposal,72691.3,WD,,,,,,,,,,,,,,,,,,,,,,
,,Total,819289.04,,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,1,Installation of Nameplates and direction boards,157950.23,N,,,,,,,,,,,,,,,,,,,,,,
2013 - 2014,2,Installation of Nameplates and direction boards,157950.23,N,,,,,,,,,,,,,,,,,,,,,,
,,Total,315900.46,,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,1,Benches at various places,143017.58,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,2,Benches at various places,149214.95,B,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,3,Road Works,57220.14,RW,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,4,Installation of Nameplates and direction boards,54792.2,N,,,,,,,,,,,,,,,,,,,,,,
2014 - 2015,5,Drainage line repairing,26244.11,D,,,,,,,,,,,,,,,,,,,,,,
,,Total,430488.98,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,2,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,3,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Final Total,1565678.48,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
