"Prabhag 40A : Laxmitai Ghodke","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","146510","B","0","58/66",""
"2012 - 2013","2","Building of Bus stop","120945","BS","","",""
"2012 - 2013","3","Building of Bus stop","117450","BS","","",""
"2012 - 2013","4","Building of Bus stop","205842","BS","","",""
"2012 - 2013","5","Bore wells","46268","BW","","",""
"2012 - 2013","6","Pavement blocks","145330","P","","",""
"2012 - 2013","7","Benches","162962","B","","",""
"2012 - 2013","8","Electrification, new street lights","124813","E","","",""
"2012 - 2013","9","Electrification, new street lights","124613","E","","",""
"2012 - 2013","10","Computers","200000","CO","","",""
"","","Total","1394733","","","",""
"2013 - 2014","1","Jute bags","200000","J","0","53/77",""
"2013 - 2014","2","Wheelbarrow purchasing","200000","WD","","",""
"2013 - 2014","3","Benches","199401","B","","",""
"2013 - 2014","4","Dustbin distribution/ Buckets","200000","DB","","",""
"2013 - 2014","5","Electrification, new street lights","200000","E","","",""
"2013 - 2014","6","Road works","200000","R","","",""
"2013 - 2014","7","Furniture work","200000","FW","","",""
"2013 - 2014","8","Computers","200000","CO","","",""
"2013 - 2014","9","Concretization ","200000","C","","",""
"2013 - 2014","10","Building of Toilets","200000","TO","","",""
"","","Total","1999401","","","",""
"2014 - 2015","1","Drainage work/ Laying of Drainage line","200000","D","0","96/116","82.75"
"2014 - 2015","2","Furniture work","167040","FW","","",""
"2014 - 2015","3","Maintenance/cleaning","181507","M","","",""
"2014 - 2015","4","Maintenance/cleaning","181507","M","","",""
"2014 - 2015","5","Building of Toilets","179996","TO","","",""
"2014 - 2015","6","Toilet Renovation/Maintenance","188091","TO","","",""
"2014 - 2015","7","Footpath work","161675","F","","",""
"2014 - 2015","8","Jute bags","200000","J","","",""
"2014 - 2015","9","Concretization ","103109","C","","",""
"2014 - 2015","10","Toilet Renovation/Maintenance","122204","TO","","",""
"2014 - 2015","11","Laying of Tiles","157299","T","","",""
"","","Total","1842428","","","",""
"2015 - 2016","1","Electrification, new street lights","114020","E","0","101/127",""
"2015 - 2016","2","Benches","184009","B","","",""
"2015 - 2016","3","Development Wrok","186432","DW","","",""
"2015 - 2016","4","Development Wrok","190553","DW","","",""
"2015 - 2016","5","Building of shed","169935","BS","","",""
"2015 - 2016","6","Installation of Nameplates","16319","N","","",""
"2015 - 2016","7","Development Wrok","154996","DW","","",""
"2015 - 2016","8","Toilet Renovation/Maintenance","66799","TO","","",""
"","","Total","1083063","","","",""
"","","","","","","",""
"","","Final Total","6319625","","0","","82.75"
