Prabhag 40B : Arvind Shinde,,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance,Attendance percentage
2012 - 2013,1,Drainage work,199940,D,0,64/66,96.96
2012 - 2013,2,Benches,146510,B,,,
2012 - 2013,3,Dustbin distribution/ Buckets,200000,DB,,,
2012 - 2013,4,Wheelbarrow purchasing,200000,WD,,,
2012 - 2013,7,Laying of Tiles,157213,T,,,
2012 - 2013,8,Bore wells,50000,BW,,,
2012 - 2013,9,Fencing ,138395,FE,,,
2012 - 2013,10,Installation of Nameplates,103412,N,,,
2012 - 2013,11,Benches,150704,B,,,
,,Total,1346174,,,,
2013 - 2014,1,Benches,156494,B,7,62/77,80.51
2013 - 2014,2,Dustbin distribution/ Buckets,200000,DB,,,
2013 - 2014,3,Wheelbarrow purchasing,200000,WD,,,
2013 - 2014,4,Installation of Nameplates,158620,N,,,
2013 - 2014,5,Making Speedbreakers,200000,R,,,
2013 - 2014,8,Buying sewing machines,200000,S,,,
,,Total,1115114,,,,
2014 - 2015,1,Jute bags,200000,J,5,110/116,94.82
2014 - 2015,2,Samaj Mandir/ Related work/ Renovation,200000,SM,,,
2014 - 2015,3,Electrification,165186,E,,,
2014 - 2015,4,Dustbin distribution/ Buckets,200000,DB,,,
2014 - 2015,5,Jute bags,200000,J,,,
2014 - 2015,6,Benches,184231,B,,,
2014 - 2015,7,Maintenance/cleaning,200000,M,,,
2014 - 2015,8,Gym/ gym equipments,199373,GY,,,
2014 - 2015,9,Jute bags,200000,J,,,
2014 - 2015,10,Putting Iron Doors/Gates,170796,SM,,,
2014 - 2015,11,Toilet Renovation/Maintenance,199692,TO,,,
,,Total,2119278,,,,
2015 - 2016,1,,107450,,5,,
2015 - 2016,2,Dustbin distribution/ Buckets,200000,DB,,,
2015 - 2016,3,Benches,137934,B,,,
2015 - 2016,4,Gym/ gym equipments,150446,GY,,,
2015 - 2016,5,Dustbin distribution/ Buckets,200000,DB,,,
2015 - 2016,6,Maintenance/cleaning,169495,M,,,
2015 - 2016,7,Toilet Renovation/Maintenance,193692,TO,,,
2015 - 2016,8,Drainage work,127804,D,,,
,,Total,1286821,,,,
,,,,,,,
,,Final Total,5867387,,17,,87.665
