"Prabhag 47A : Sudhir Jaanjyot","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance",""
"2012 - 2013","1","Toilet Planning","181381","TO","0","55/66",""
"2012 - 2013","2","Tiles Work +Concretisation","174619","C","","",""
"2012 - 2013","3","Decorating city church","174619","DE","","",""
"2012 - 2013","4","Laying Tiles +Concretisation","179478","C","","",""
"2012 - 2013","5","Laying Pavement Blocks","179564","P","","",""
"2012 - 2013","6","Developmental work in church","179329","DW","","",""
"2012 - 2013","7","Repair work in PMC colony no 12","174619","M","","",""
"2012 - 2013","8","Repair work in PMC colony no 12","179478","M","","",""
"2012 - 2013","9","Wiring in Gym","111961","GY","","",""
"2012 - 2013","5","","","","","",""
"","","Total","1535048","","","",""
"2013 - 2014","1","Laying Drainage Line","191548","D","0","61/77",""
"2013 - 2014","2","Development Work","178872","DW","","",""
"2013 - 2014","3","Samaj Mandir related work","166414","SM","","",""
"2013 - 2014","4","Concretisation","74323","C","","",""
"2013 - 2014","5","Concretisation","67635","C","","",""
"2013 - 2014","6","Concretisation","68541","C","","",""
"2013 - 2014","7","Installing Benches","192390","B","","",""
"2013 - 2014","8","Development Work","192050","DW","","",""
"2013 - 2014","9","Buying Buckets","200000","DB","","",""
"","","Total","1331773","","","",""
"2014 - 2015","1","Installing Electricity Meter,Electrification Related Work","165336","E","1","107/116",""
"2014 - 2015","2","To Complete Remaining Shed Work of Samaj Mandir","159307","SM","","",""
"2014 - 2015","3","Boudha Vihar work","200000","DE","","",""
"2014 - 2015","4","Installing Nameplates","174634","N","","",""
"2014 - 2015","5","Installing Ceramic Boards","170015","N","","",""
"2014 - 2015","6","Installing Ceramic Boards","170015","N","","",""
"","","","","","","",""
"","","Total","1039307","","","",""
"2015 - 2016","1","Water supply line ","122000","W","1","103/127",""
"2015 - 2016","2","Water supply line ","200000","W","","",""
"2015 - 2016","3","Benches","192000","B","","",""
"2015 - 2016","4","Electrification, new street lights","180000","E","","",""
"","","Total","694000","","","",""
"","","","","","","",""
"","","Final Total","4600128","","","",""
"","","","","","","",""
