Prabhag 53A : Manjusha Nagpure,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance
2012 - 2013,1,Laying of Tiles +Concretisation,126678,T+C,5,
2012 - 2013,2,Maintenance of Cremation Ground,171785,M,,
2012 - 2013,3,Building of Toilets,149909,BT,,
2012 - 2013,4,Colouring of Tiles and related works,169861,CT,,
2012 - 2013,5,Building of Bus stop shed,178569,BS,,
2012 - 2013,6,Installation of Benches,97665,B,,
2012 - 2013,7,Buying Jute Bags,200000,J,,
2012 - 2013,8,Installation of Benches,100000,B,,
2012 - 2013,9,Electrification,130556,E,,
,,,,,,
,,,,,,
,,Total,1325023,,,
2013 - 2014,1,Electrification (Fitting of LED bulbs),138877,E,2,
2013 - 2014,2,Electrification ,135269,E,,
2013 - 2014,3,Concretisation,155105,C,,
2013 - 2014,4,Maintenance of Temple,189001,M,,
2013 - 2014,5,Building of Bus Stop shed,177989,BS,,
2013 - 2014,6,Providing Computers,200000,CO,,
2013 - 2014,7,Fencing,84857,FE,,
2013 - 2014,8,Fencing,181849,FE,,
2013 - 2014,9,Concretisation,150168,C,,
2013 - 2014,10,Providing Computers and Printers,200000,CO,,
2013 - 2014,11,Installation of Benches,,B,,
,,Total,1613115,,,
2014 - 2015,1,Installation of Benches,157188,B,0,
2014 - 2015,2,Fencing,84009,F,,
2014 - 2015,3,Providing Canvas bags,200000,J,,
2014 - 2015,4,Providing Canvas bags,200000,J,,
2014 - 2015,5,Installation of Direction Boards,149030,SB,,
2014 - 2015,6,Devlopement Works,95565,DW,,
2014 - 2015,7,Setting Information Boards,151662,SB,,
2014 - 2015,8,Setting Information Boards,153305,SB,,
2014 - 2015,9,Buying Benches,145825,B,,
,,Total,1336584,,,
2015 - 2016,1,Studyroom development,155711,SM,6,
2015 - 2016,2,Studyroom construction,156408,SM,,
2015 - 2016,3,Installation of Benches,135324,B,,
2015 - 2016,4,Buckets Purchasing,200000,DB,,
2015 - 2016,5,Electrification,113654,E,,
2015 - 2016,6,Studyroom maintainance,153448,SM,,
,,Total,914545,,,
,,,,,,
,,Final Total,5189267,,,
