Prabhag 54B : Raju Laigude,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance
2012 - 2013,1,Garden Fencing,162425,FE,0,
2012 - 2013,2,Drainage line (Works),161451,D,,
2012 - 2013,3,Concretisation,143431,C,,
2012 - 2013,4,Road Work (Paver),200000,R,,
2012 - 2013,5,Concretisation,145242,C,,
2012 - 2013,6,Road Work ,200000,R,,
2012 - 2013,7,Road Work,200000,R,,
2012 - 2013,8,Concretisation,156557,C,,
2012 - 2013,9,Concretisation,149735,C,,
2012 - 2013,10,Concretisation,141958,C,,
2012 - 2013,11,Drainage line (Works),139785,D,,
2012 - 2013,12,Road Work (Paver),200000,R,,
,,,,,,
,,,,,,
,,,,,,
,,Total,2000584,,,
2013 - 2014,1,Concretisation,147373,C,2,
2013 - 2014,2,Concretisation,145921,C,,
2013 - 2014,3,Concretisation,147376,C,,
2013 - 2014,4,Concretisation,147399,C,,
2013 - 2014,5,Railing work,162035,R,,
2013 - 2014,6,Concretisation,147351,C,,
2013 - 2014,7,Concretisation,,C,,
2013 - 2014,8,Concretisation,147294,C,,
2013 - 2014,9,Concretisation,147302,C,,
2013 - 2014,10,Electrification,200000,E,,
2013 - 2014,11,,,,,
2013 - 2014,12,,,,,
,,Total,1392051,,,
2014 - 2015,1,Concretisation,160108,C,0,
2014 - 2015,2,Railing Work,200000,R,,
2014 - 2015,3,Concretisation,150471,C,,
2014 - 2015,4,Gym Work,200000,GY,,
2014 - 2015,5,Maintenanance of Cremation Ground,200000,M,,
2014 - 2015,6,Installing toys for kids,200000,,,
2014 - 2015,7,Installing toys for kids,200000,,,
2014 - 2015,8,Cleaning/ Maintenance of Amenity Space,200000,M,,
2014 - 2015,9,Building open Gym,200000,GY,,
2014 - 2015,10,Building open Gym,200000,GY,,
2014 - 2015,11,Development Work,200000,D,,
2014 - 2015,12,Building open Gym,200000,GY,,
2014 - 2015,13,Building open Gym,200000,GY,,
2014 - 2015,14,Manufacturing Jute bags,200000,J,,
,,,,,,
,,,,,,
,,Total,2710579,,,
2015 - 2016,1,Purchasing E-Rickshaw for waste management,200000,WD,1,
2015 - 2016,2,Concretisation,169856,C,,
2015 - 2016,3,Concretisation,83695,C,,
2015 - 2016,4,Road works,135217,R,,
2015 - 2016,5,Concretisation,165272,C,,
2015 - 2016,6,Making canvas bags,200000,J,,
,,Total,954040,,,
,,,,,,
,,Final Total,7057254,,,
