Prabhag 55A : Sangita Kudale,,,,,,
Year,No.,Details of the work,Amount,Code,Questions raised,GB attendance
2012 - 2013,1,Road protection wall,201969,R,0,
2012 - 2013,2,Road protection wall,179053,R,,
2012 - 2013,3,Cladding for PMC building,200000,,,
2012 - 2013,4,Cladding for building,200000,,,
2012 - 2013,5,Installation of Benches,149122,B,,
2012 - 2013,6,Concretisation,200000,C,,
2012 - 2013,7,Railing Work,159314,R,,
2012 - 2013,8,Installation of Benches,148554,B,,
2012 - 2013,9,Fencing ,200000,FE,,
,,,,,,
,,,,,,
,,,,,,
,,Total,1638012,,,
2013 - 2014,1,Toilet Renovation,165467,TO,0,
2013 - 2014,2,Building Toilet (Fibre made),200000,BT,,
2013 - 2014,3,Building Toilet,159467,BT,,
2013 - 2014,4,Buying Plastic Buckets,200000,DB,,
2013 - 2014,5,Buying Plastic Buckets,200000,DB,,
2013 - 2014,6,Buying Plastic Buckets,200000,DB,,
2013 - 2014,7,Buying Plastic Buckets,200000,DB,,
2013 - 2014,8,Buying Plastic Buckets,200000,DB,,
2013 - 2014,9,Road Colouring + Installing Sign Boards,164801,R+SB,,
2013 - 2014,10,Fencing for Bridge,138787,FE,,
2013 - 2014,11,,,,,
2013 - 2014,12,,,,,
,,Total,1828522,,,
2014 - 2015,1,Concretisation,157775,C,0,
2014 - 2015,2,Steps on Hill Slope + Concretisation,144291,C,,
2014 - 2015,3,Concretisation,157869,C,,
2014 - 2015,4,Construction of RCC wall,154830,WC,,
2014 - 2015,5,Concretisation,157689,C,,
2014 - 2015,6,Concretisation,157826,C,,
2014 - 2015,7,Concretisation,157808,C,,
2014 - 2015,8,Concretisation,157915,C,,
2014 - 2015,9,Concretisation,157808,C,,
2014 - 2015,10,"Providing Table, Chairs,Books to Samaj Mandir School students",200000,SM,,
2014 - 2015,11,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Total,1603811,,,
2015 - 2016,1,Pedestrian crossing,141337,R,0,
2015 - 2016,2,Pedestrian crossing,141585,R,,
2015 - 2016,3,Pedestrian crossing,141864,R,,
2015 - 2016,4,Purchasing canvas bags,200000,J,,
2015 - 2016,5,Purchasing canvas bags,100000,J,,
2015 - 2016,6,Purchasing canvas bags,100000,J,,
2015 - 2016,7,Installation of sign boards,141733,N,,
,,Total,966519,,,
,,,,,,
,,Final Total,6036864,,,
