"Prabhag 56 B : Priya Gadade","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","GB attendance"
"2012 - 2013","1","Concretisation","188300","C","0","45/66","68.18"
"2012 - 2013","2","Concretisation","186914","C","","",""
"2012 - 2013","3","Laying Concrete Tiles in School","157892","T","","",""
"2012 - 2013","4","Fencing for school Compound Wall","169844","F","","",""
"2012 - 2013","5","Painting Work in School ","137277","DW","","",""
"2012 - 2013","6","Concretisation","191623","C","","",""
"2012 - 2013","7","Concretisation","184529","C","","",""
"2012 - 2013","8","Constructing Wall","187186","FE","","",""
"2012 - 2013","9","Constructing Wall","184966","FE","","",""
"","","Total","1588531","","","",""
"2013 - 2014","1","Electrification ( Solar Lamps)","130152","E","0","10/77","12.98"
"2013 - 2014","2","Electrification ( Solar Lamps)","130152","E","","",""
"2013 - 2014","3","Electrification ","121285","E","","",""
"2013 - 2014","4","Electrification","120349","E","","",""
"2013 - 2014","5","Electrification","120349","E","","",""
"2013 - 2014","6","Drainage Work","148999","D","","",""
"2013 - 2014","7","Drainage Work","149120","D","","",""
"2013 - 2014","8","Drainage Work","148712","D","","",""
"2013 - 2014","9","Drainage Work","149431","D","","",""
"2013 - 2014","10","Pavement Blocks(Interlocking Blocks)","151530","P","","",""
"2013 - 2014","11","Pavement Blocks(Interlocking Blocks)","149536","P","","",""
"2013 - 2014","12","Pavement Blocks(Interlocking Blocks)","150533","P","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1670148","","","",""
"2014 - 2015","1","Road repairs ","160963","R","0","46/116","39.65"
"2014 - 2015","2","Road repairs ","160963","R","","",""
"2014 - 2015","3","Drainage Work( Reparing chamber)","200000","D","","",""
"2014 - 2015","4","Drainage Work( Repaires and Cleaning)","200000","D","","",""
"2014 - 2015","5","Drainage Work( Repaires and Cleaning)","200000","D","","",""
"2014 - 2015","6","Concretisation","200000","C","","",""
"2014 - 2015","7","Concretisation","200000","C","","",""
"2014 - 2015","8","Concretisation","200000","C","","",""
"","","Total","1521926","","","",""
"2015 - 2016","1","Construction of fencing wall","183008","FE","0","81/127","63.77"
"2015 - 2016","2","Maintenance/cleaning","35705","M","","",""
"2015 - 2016","3","Toilet- building","191993","TO","","",""
"","","","","","","",""
"","","","410706","","","",""
"","","","","","","",""
"","","Final Total","5191311","","","",""
