"Prabhag 60B : Avinash Bagve","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance",""
"2012 - 2013","1","Digging Borewell","197538","BW","5","64/66",""
"2012 - 2013","2","Digging Borewell","191143","BW","","",""
"2012 - 2013","3","Providing and installing projector ","180074","CO","","",""
"2012 - 2013","4","Installation of Benches","198188","B","","",""
"2012 - 2013","5","Paagoda karane","188227","SM","","",""
"2012 - 2013","6","Electrification related work","192376","E","","",""
"2012 - 2013","7","Electrification related work","186549","E","","",""
"","","Total","1334095","","","",""
"2013 - 2014","1","Installing Benches","184240","B","7","66/77",""
"2013 - 2014","2","Building Waiting Shed","191955","SM","","",""
"2013 - 2014","3","Repair Works in Samaj Mandir","182804","SM","","",""
"2013 - 2014","4","Installing Nameplates","169894","N","","",""
"2013 - 2014","5","Repair Work in Balewadi","193315","DW","","",""
"2013 - 2014","6","Development Work of Balewadi","197013","DW","","",""
"2013 - 2014","7","Building Watchmen Cabin","195643","SM","","",""
"","","Total","1314864","","","",""
"2014 - 2015","1","Providing Exercise Equipments","230847","GY","7","104/116",""
"2014 - 2015","2","Drinking water line Repairs, Cleaning, Collecting Filth , Repairing Potholes","144227","W","","",""
"2014 - 2015","3","Providing Exercise Equipments","200000","GY","","",""
"2014 - 2015","4","Installing Benches","192000","B","","",""
"2014 - 2015","5","Traffic Management Related Work","181424","R","","",""
"2014 - 2015","6","Installing Benches","192000","B","","",""
"","","Total","1140498","","","",""
"2015 - 2016","1","Benches","192000","B","9","116/127",""
"2015 - 2016","2","Benches","139000","B","","",""
"2015 - 2016","3","school Maintenance","168000","SM","","",""
"2015 - 2016","4","","","","","",""
"","","Total","499000","","","",""
"","","","","","","",""
"","","Final Total","4288457","","","",""
"","","","","","","",""
