"Prabhag 64A : Shrinath Bhimale","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance"
"2012 - 2013","1","Electrification, new street lights","196670","E","0",""
"2012 - 2013","2","Electrification, new street lights","194186","E","",""
"2012 - 2013","3","","","","",""
"2012 - 2013","4","","","","",""
"2012 - 2013","5","","","","",""
"","","Total","390856","","",""
"2013 - 2014","1","","","","0",""
"2013 - 2014","2","","","","",""
"2013 - 2014","3","","","","",""
"2013 - 2014","4","","","","",""
"","","Total","0","","",""
"2014 - 2015","1","","","","0",""
"2014 - 2015","2","","","","",""
"2014 - 2015","3","","","","",""
"2014 - 2015","4","","","","",""
"","","Total","0","","",""
"2015 - 2016","1","","","","0",""
"2015 - 2016","2","","","","",""
"2015 - 2016","3","","","","",""
"2015 - 2016","4","","","","",""
"","","Total","0","","",""
"","","","","","",""
"","","Final Total","390856","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
