"Prabhag 66A : Manisha Chorbele","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance"
"2012 - 2013","1","Benches","120821","B","0",""
"2012 - 2013","2","Benches","120821","B","",""
"2012 - 2013","3","Benches","158573","B","",""
"2012 - 2013","4","Electrification, new street lights","194069","E","",""
"2012 - 2013","5","Electrification, new street lights","185732","E","",""
"","","Total","780016","","",""
"2013 - 2014","1","Benches","145168","B","0",""
"2013 - 2014","2","Installation of direction Sign boards","80228","N","",""
"2013 - 2014","3","Benches","134855","B","",""
"2013 - 2014","4","Colouring roads","136085","R","",""
"2013 - 2014","5","Electrification, new street lights","158280","E","",""
"2013 - 2014","6","Electrification, new street lights","154287","E","",""
"2013 - 2014","7","Benches","140490","B","",""
"2013 - 2014","8","Jute bags / Canvas bags","97390","J","",""
"2013 - 2014","9","Fencing, walls","110441","FE","",""
"","","Total","1157224","","",""
"2014 - 2015","1","Installation of Nameplates / direction boards / Sign boards / Message boards","139388","N","1",""
"2014 - 2015","2","Benches","131436","B","",""
"2014 - 2015","3","Benches","131436","B","",""
"2014 - 2015","4","Gym/ gym equipments","148000","GY","",""
"2014 - 2015","5","Road construction/ Colouring roads/ Railing Work/Speed breaker ","77990","R","",""
"2014 - 2015","6","Installation of Nameplates / direction boards / Sign boards / Message boards","154996","N","",""
"2014 - 2015","7","Fencing, walls","37644","FE","",""
"2014 - 2015","8","Electrification, new street lights","133400","E","",""
"2014 - 2015","9","Water supply","159074","W","",""
"2014 - 2015","10","Water supply","143913","W","",""
"2014 - 2015","11","","","","",""
"","","Total","1257277","","",""
"2015 - 2016","1","","","","0",""
"2015 - 2016","2","","","","",""
"2015 - 2016","3","","","","",""
"2015 - 2016","4","","","","",""
"","","Total","0","","",""
"","","","","","",""
"","","Final Total","3194517","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
