"Prabhag 73B : Suvarna Rohidas Paygude","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","186780","B","0","62/66","93.93"
"2012 - 2013","2","Electrification Work","148198.78","E","","",""
"2012 - 2013","3","Electrification Work","157435.53","E","","",""
"","","Total","492414.31","","","",""
"2013 - 2014","1","Road Work","151289.15","R","0","69/77","89.61"
"2013 - 2014","2","Laying of Drainage Line","171724.3","D","","",""
"2013 - 2014","3","Laying of Drainage Line","171393.47","D","","",""
"2013 - 2014","4","Laying of Drainage Line","143251.67","D","","",""
"2013 - 2014","5","Drainage Work","143167.78","D","","",""
"2013 - 2014","6","Electrification Work","143896.4","E","","",""
"2013 - 2014","7","Laying of Drainage Line","143004.35","D","","",""
"","","","","","","",""
"","","Total","1067727.12","","","",""
"2014 - 2015","1","Road Works","185998.22","RW","0","95/116","81.89"
"2014 - 2015","2","Road Works","167791.85","RW","","",""
"2014 - 2015","3","Benches","145322.83","B","","",""
"2014 - 2015","4","Drainage work","125259.62","D","","",""
"2014 - 2015","5","Electrification, new street lights","156482.55","E","","",""
"","","Total","780855.07","","","",""
"2015 - 2016","1","Road construction/ Colouring roads/ Railing Work/Speed breaker ","121539","R","0","105/127",""
"2015 - 2016","2","Benches","147737","B","","",""
"2015 - 2016","3","","","","","",""
"2015 - 2016","4","","","","","",""
"","","Total","269276","","","",""
"","","","","","","",""
"","","Final Total","2610272.5","","0","","88.476666666667"
"","","","","","","",""
