"Prabhag 74A : Smt. Mohini Devkar","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Electrification Work, Street Lights","119812.97","E","0","64/66","96.96"
"2012 - 2013","2","Electrification Work, Street Lights","120000","E","","",""
"2012 - 2013","3","Electrification Work, Street Lights","117235.17","E","","",""
"2012 - 2013","4","Sign Boards","118236.46","SB","","",""
"2012 - 2013","5","Benches","193577.52","B","","",""
"2012 - 2013","6","Information / Name Board","175260.77","SB","","",""
"2012 - 2013","7","Road Work - Colouring","118164.73","R","","",""
"2012 - 2013","8","Benches","168377.74","B","","",""
"2012 - 2013","9","Laying of Drainage Line","82470.4","D","","",""
"2012 - 2013","10","Electrification Work, Street Lights","139970.82","E","","",""
"","","Total","1353106.58","","","",""
"2013 - 2014","1","Computers","200000","CO","0","72/77","93.5"
"2013 - 2014","2","Road Work - Colouring","132352.53","R","","",""
"2013 - 2014","3","Benches","189694.32","B","","",""
"2013 - 2014","4","Concretization","141869.21","C","","",""
"2013 - 2014","5","Road Work","67416.98","R","","",""
"2013 - 2014","6","Laying of Drainage Line","129006.68","D","","",""
"2013 - 2014","7","Benches","170724.89","B","","",""
"","","Total","1031064.61","","","",""
"2014 - 2015","1","Concretization","156077.72","C","0","108/116","93.1"
"2014 - 2015","2","Direction/Information/Sign Boards","167007.55","SB","","",""
"2014 - 2015","3","Develpoment Work","160987.14","DW","","",""
"2014 - 2015","4","Electrification Work, Street Lights","113874.6","E","","",""
"2014 - 2015","5","Develpoment Work","194859.46","DW","","",""
"2014 - 2015","6","Benches","156706.78","B","","",""
"2014 - 2015","7","Road Works","128498.73","RW","","",""
"","","Total","1078011.98","","","",""
"2015 - 2016","1","Electrification Work, Street Lights","115647","E","0","",""
"2015 - 2016","2","Fencing, walls","58591","FE","","",""
"2015 - 2016","3","Samaj Mandir/ any building related work/ Renovation / Temple shed ","161541","SM","","",""
"2015 - 2016","4","Electrification Work, Street Lights","113011","E","","",""
"2015 - 2016","5","Concretization","49995","C","","",""
"2015 - 2016","6","Electrification Work, Street Lights","126520","E","","",""
"","","","","","","",""
"","","Total","448790","","","",""
"","","","","","","",""
"","","Final Total","692247.54","","0","","94.52"
