"Prabhag 74B : Vishal Tambe","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Electrification Work, Street lights","119997.98","E","0","53/66","80.3"
"2012 - 2013","2","Road Works - Colouring","125147.44","R","","",""
"2012 - 2013","3","Information / Name Board","163292.81","N","","",""
"2012 - 2013","4","Benches","193577.52","B","","",""
"2012 - 2013","5","Benches","168147.24","B","","",""
"2012 - 2013","6","Laying of Drainage line","102837.77","D","","",""
"2012 - 2013","7","Computers ","150500","CO","","",""
"2012 - 2013","8","Computers ","139700","CO","","",""
"2012 - 2013","9","Electrification Work, Street lights","129470.4","E","","",""
"2012 - 2013","10","Computers ","175000","CO","","",""
"","","Total","1467671.16","","","",""
"2013 - 2014","1","Benches","145522.92","B","0","69/77","89.61"
"2013 - 2014","2","Benches","149406.12","B","","",""
"2013 - 2014","3","Road Work","49566.86","R","","",""
"2013 - 2014","4","Electrification Work","135000","E","","",""
"2013 - 2014","5","Electrification Work","135000","","","",""
"2013 - 2014","6","Electrification Work","134967.6","E","","",""
"2013 - 2014","7","Electrification Work","127590.73","E","","",""
"2013 - 2014","8","Construction Of Wall","169816.38","FE","","",""
"2013 - 2014","9","Benches","170724.89","B","","",""
"2013 - 2014","10","Electrification Work","112950","E","","",""
"","","Total","1330545.5","","","",""
"2014 - 2015","1","Benches","194583.25","B","0","100/116","86.2"
"2014 - 2015","2","Direction/Information/Sign Boards","137962.46","N","","",""
"2014 - 2015","3","Garden work","199504","G","","",""
"2014 - 2015","4","Electrification Work, Street lights","113914.5","E","","",""
"2014 - 2015","5","Computers/Printers","199000","CO","","",""
"2014 - 2015","6","Computers ","199000","CO","","",""
"2014 - 2015","7","Computers ","199000","CO","","",""
"2014 - 2015","8","Computers ","199000","CO","","",""
"2014 - 2015","9","Computers ","100000","CO","","",""
"","","Total","1541964.21","","","",""
"2015 - 2016","1","Samaj Mandir/ any building related work/ Renovation / Temple shed ","159572","SM","0","109/127",""
"2015 - 2016","2","School Developmental Work","160168","SM","","",""
"2015 - 2016","3","Hospital Developmental Work","154130","SM","","",""
"2015 - 2016","4","Hospital Developmental Work","58948","SM","","",""
"2015 - 2016","5","Health Dept. Dev Work","104993","SM","","",""
"2015 - 2016","6","Health Dept. Dev Work","83264","SM","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","721075","","","",""
"","","","","","","",""
"","","Final Total","5061255.87","","0","","85.37"
