"Prabhag 75A : Smt Kalpana Thorave","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","152454.97","B","2","62/66","93.93"
"2012 - 2013","2","Construction of walls","100740.53","FE","","",""
"2012 - 2013","3","Concretization","70381.53","C","","",""
"2012 - 2013","4","Road Works - Colouring","38271.81","R","","",""
"2012 - 2013","5","Drainage work+ Concretisation","137349.14","D","","",""
"2012 - 2013","6","Information / Name Boards","120577.6","N","","",""
"2012 - 2013","7","Concretization","138625.72","C","","",""
"2012 - 2013","8","Computers","183000","CO","","",""
"2012 - 2013","9","Electrification Work","139970.82","E","","",""
"2012 - 2013","10","Development Work","174536.79","DW","","",""
"2012 - 2013","11","","","","","",""
"","","Total","1255908.91","","","",""
"2013 - 2014","1","Concretization","143813.21","C","3","71/77","92.2"
"2013 - 2014","2","Concretization","141754.28","C","","",""
"2013 - 2014","3","Concretization","142671.66","C","","",""
"2013 - 2014","4","Concretization","140706.48","C","","",""
"2013 - 2014","5","Concretization","144615.26","C","","",""
"2013 - 2014","6","Concretization","142019.28","C","","",""
"2013 - 2014","7","Concretization","105075.94","C","","",""
"2013 - 2014","8","Concretization","84796.86","C","","",""
"2013 - 2014","9","Concretization","109886.79","C","","",""
"2013 - 2014","10","Concretization","73581.1","C","","",""
"","","Total","1228920.86","","","",""
"2014 - 2015","1","Concretization","145501.94","C","0","104/116","89.65"
"2014 - 2015","2","Concretization","142699.18","C","","",""
"2014 - 2015","3","Concretization","147196.93","C","","",""
"2014 - 2015","4","Concretization","143161.68","C","","",""
"2014 - 2015","5","Concretization","141002.58","C","","",""
"2014 - 2015","6","Concretization","141836.39","C","","",""
"2014 - 2015","7","Concretization","143051.85","C","","",""
"2014 - 2015","8","Water supply","190298.36","W","","",""
"2014 - 2015","9","Concretization","147177.63","C","","",""
"2014 - 2015","10","Concretization","122216.65","C","","",""
"2014 - 2015","11","Electrification, new street lights","154531.98","E","","",""
"","","Total","1618675.17","","","",""
"2015 - 2016","1","Concretization","139092","C","0","113/127",""
"2015 - 2016","2","Concretization","139104","C","","",""
"2015 - 2016","3","Concretization","139602","C","","",""
"2015 - 2016","4","Road construction/ Colouring roads/ Railing Work/Speed breaker ","26506","R","","",""
"2015 - 2016","5","Benches","143976","B","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","588280","","","",""
"","","","","","","",""
"","","Final Total","4691784.94","","5","","91.926666666667"
