"Prabhag 76A : Bharati Kadam","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Toilet Renovation/Maintenance","85278.87","TO","0","54/66","81.81"
"2012 - 2013","2","Electrification Work","60156.74","E","","",""
"2012 - 2013","3","Benches","141719.86","B","","",""
"2012 - 2013","4","Drainage work","154367.48","D","","",""
"2012 - 2013","5","Concretization","147950.6","C","","",""
"2012 - 2013","6","Laying of Drainage Line","158433.71","D","","",""
"2012 - 2013","7","Laying of Drainage Line","151723.49","D","","",""
"2012 - 2013","8","Road Work","70173.84","R","","",""
"2012 - 2013","9","Laying of Drainage Line","42401.03","D","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1012205.62","","","",""
"2013 - 2014","1","Benches","173861.26","B","0","51/77","66.23"
"2013 - 2014","2","Laying of Drainage Line","120608.38","D","","",""
"2013 - 2014","3","Benches","162912.75","B","","",""
"2013 - 2014","4","Benches","169356.64","B","","",""
"2013 - 2014","5","Road Work","169669.95","R","","",""
"2013 - 2014","6","Laying of Drainage Line","136888.22","D","","",""
"2013 - 2014","7","Electrification Work","97392.51","E","","",""
"2013 - 2014","8","Concretization","157157.12","C","","",""
"2013 - 2014","9","Concretization","156550.16","C","","",""
"2013 - 2014","10","Water Supply","86200","W","","",""
"","","Total","1430596.99","","","",""
"2014 - 2015","1","Pavement blocks","195661.99","P","0","80/116","68.96"
"2014 - 2015","2","Pavement blocks","198957.53","P","","",""
"2014 - 2015","3","Colouring roads/ Railing Work/Road Work","179760.02","R","","",""
"2014 - 2015","4","Concretization","199031.3","C","","",""
"2014 - 2015","5","Benches","168751.35","B","","",""
"2014 - 2015","6","Benches","176976","B","","",""
"2014 - 2015","7","Direction/Information/Sign Boards","125879.98","SB","","",""
"2014 - 2015","8","Electrification Work","72471","E","","",""
"2014 - 2015","9","Electrification Work","72471","E","","",""
"","","Total","1389960.17","","","",""
"2015 - 2016","1","Installation of Nameplates / direction boards / Sign boards / Message boards","126721","N","0","",""
"2015 - 2016","2","Installation of Nameplates / direction boards / Sign boards / Message boards","158500","N","","",""
"2015 - 2016","3","Drainage work/ Laying of Drainage line","189912","D","","",""
"2015 - 2016","4","Benches","186259","B","","",""
"2015 - 2016","5","Installation of Nameplates / direction boards / Sign boards / Message boards","168279","N","","",""
"2015 - 2016","6","Fencing, walls","179555","FE","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1009226","","","",""
"","","","","","","",""
"","","Final Total","1221490.54","","0","","72.333333333333"
