"Prabhag 76B : Vasant More","","","","","","",""
"Year","No.","Details of the work","Amount","Code","Questions raised","GB attendance","Attendance percentage"
"2012 - 2013","1","Benches","192000","B","0","58/66","87.87"
"2012 - 2013","2","Benches","159668.99","B","","",""
"2012 - 2013","3","Concretization","148827.14","C","","",""
"2012 - 2013","4","Concretization","148864.68","C","","",""
"2012 - 2013","5","Development Work","95111.03","DW","","",""
"2012 - 2013","6","Concretization","142756.2","C","","",""
"2012 - 2013","7","Gym/ gym equipments","153027","GY","","",""
"2012 - 2013","8","Computers","88000","CO","","",""
"2012 - 2013","9","Electrification Work","62596.16","E","","",""
"2012 - 2013","10","Concretization","147246.08","C","","",""
"2012 - 2013","11","Laying of Drainage Line","164495.66","D","","",""
"","","Total","1502592.94","","","",""
"2013 - 2014","1","Benches","161099.59","B","0","65/77","84.41"
"2013 - 2014","2","Benches","155860.12","B","","",""
"2013 - 2014","3","Laying of Drainage Line","98862.57","D","","",""
"2013 - 2014","4","Laying of Drainage Line","145400.33","D","","",""
"2013 - 2014","5","Fencing","91881.15","FE","","",""
"2013 - 2014","6","Development Work","143844.44","DW","","",""
"2013 - 2014","7","Laying of Drainage Line","162933.88","D","","",""
"2013 - 2014","8","Concretization","145178.75","C","","",""
"2013 - 2014","9","Concretization","141646.16","C","","",""
"","","Total","1246706.99","","","",""
"2014 - 2015","1","Concretization","139033.81","C","0","100/116","86.2"
"2014 - 2015","2","Concretization","140461.97","C","","",""
"2014 - 2015","3","Concretization","139005.75","C","","",""
"2014 - 2015","4","Concretization","138941.51","C","","",""
"2014 - 2015","5","Concretization","141841.28","C","","",""
"2014 - 2015","6","Concretization","141675.62","C","","",""
"2014 - 2015","7","Concretization","143559.77","C","","",""
"2014 - 2015","8","Concretization","141860.09","C","","",""
"2014 - 2015","9","Water supply","168347.18","W","","",""
"2014 - 2015","10","Concretization","146261.79","C","","",""
"","","Total","1440988.77","","","",""
"2015 - 2016","1","Concretization","152074","C","0","",""
"2015 - 2016","2","Fencing, walls","150446","FE","","",""
"2015 - 2016","3","Fencing, walls","150610","FE","","",""
"2015 - 2016","4","Benches","146478","B","","",""
"2015 - 2016","5","Concretization","146104","C","","",""
"2015 - 2016","6","Jogging Track block","147166","G","","",""
"2015 - 2016","7","Electrification, new street lights","115549","E","","",""
"2015 - 2016","8","Electrification, new street lights","109269","E","","",""
"","","","","","","",""
"","","","","","","",""
"","","Total","1117696","","","",""
"","","","","","","",""
"","","Final Total","1517887.62","","0","","86.16"
