1A,TINGARE REKHA CHANDRAKANT,1A,images/photos/1A.jpg,Lohegaon Airport,Yerawda - Sangamwadi,NCP,0,0,Yes,www.google.com,csv/1A.csv,Female
1B,TINGARE ANIL (BOBY) VASANTRAO,1B,images/photos/1B.jpg,Lohegaon Airport,Yerawda - Sangamwadi,NCP,0,0,Yes,www.google.com,csv/1B.csv,Male
2A,PATHARE MAHENDRA PANDHARINATH,2A,images/photos/2A.jpg,Kharadi Infotech Park,Nagar Road ,NCP,0,0,No,www.google.com,csv/2A.csv,Male
2B,PATHARE SANJILA BAPUSAHEB,2B,images/photos/2B.jpg,Kharadi Infotech Park,Nagar Road ,SS,0,0,No,www.google.com,csv/2B.csv,Female
3A,KALAMKAR USHA DNYANESHWAR,3A,images/photos/3A.jpg,Vimannagar Sanjay Park,Nagar Road ,NCP,0,0,No,www.google.com,csv/3A.csv,Female
3B,PATHARE (PATIL) MAHADEV BHIKU,3B,images/photos/3B.jpg,Vimannagar Sanjay Park,Nagar Road ,NCP,0,0,No,www.google.com,csv/3B.csv,Male
4A,DEVKAR SUNANDA SANJAY,4A,images/photos/4A.jpg,Nagpur Chawl,Nagar Road ,RPI,0,0,No,www.google.com,csv/4A.csv,Female
4B,DHENDE SIDDHARTH YASHWANT,4B,images/photos/4B.jpg,Nagpur Chawl,Nagar Road ,RPI,0,0,Yes,www.google.com,csv/4B.csv,Male
5A,SALUNKE SAVITA / SUNITA ANIL,5A,images/photos/5A.jpg,Vishrantwadi Mhaske Vasti,Yerawda - Sangamwadi,MNS,0,0,No,www.google.com,csv/5A.csv,Female
5B,MHASKE SATISH ANKUSH,5B,images/photos/5B.jpg,Vishrantwadi Mhaske Vasti,Yerawda - Sangamwadi,NCP,0,0,No,www.google.com,csv/5B.csv,Male
6A,KAMBALE (MANDAVWALE) ARCHANA RAMESH,6A,images/photos/6A.jpg,Bopodi Gaonthan,Aundh ,MNS,0,0,Yes,www.google.com,csv/6A.csv,Female
6B,DHORE PRAKASH DNYANOBA,6B,images/photos/6B.jpg,Bopodi Gaonthan,Aundh ,MNS,0,0,Yes,www.google.com,csv/6B.csv,Male
7A,GAIKWAD SHASHIKALA DHONDIRAM,7A,images/photos/7A.jpg,Pune University,Aundh ,INC,0,0,No,www.google.com,csv/7A.csv,Female
7B,GAIKWAD KAILAS MARUTIRAO,7B,images/photos/7B.jpg,Pune University,Aundh ,INC,0,0,Yes,www.google.com,csv/7B.csv,Male
8A,NIMHAN CHANDRASHEKHAR VINAYAK,8A,images/photos/8A.jpg,Aundh ITI,Aundh ,INC,0,0,Yes,www.google.com,csv/8A.csv,Male
8B,GAIKWAD SANGITA DATTATRAY,8B,images/photos/8B.jpg,Aundh ITI,Aundh,INC,0,0,Yes,www.google.com,csv/8B.csv,Female
9A,MURKUTE RANJANA ASHOK,9A,images/photos/9A.jpg,Baner Balewadi,Aundh ,NCP,0,0,No,www.google.com,csv/9A.csv,Female
9B,CHANDERE BABURAO DATTOBA,9B,images/photos/9B.jpg,Baner Balewadi,Aundh ,NCP,0,0,No,www.google.com,csv/9B.csv,Male
10A,CHIMTE ROHINI SUDHIR,10A,images/photos/10A.jpg,Pashan Sutarwadi,Aundh ,NCP,0,0,No,www.google.com,csv/10A.csv,Female
10B,NIMHAN SUSHAMA PRAMOD,10B,images/photos/10B.jpg,Pashan Sutarwadi,Aundh ,NCP,0,0,No,www.google.com,csv/10B.csv,Female
11A,ORASE SHARADA SHANKAR,11A,images/photos/11A.jpg,Janwadi-Gokhalenagar,Ghole Road ,NCP,0,0,Yes,www.google.com,csv/11A.csv,Female
11B,BAHIRAT DATTA RANGNATH,11B,images/photos/11B.jpg,Janwadi-Gokhalenagar,Ghole Road ,INC,0,0,Yes,www.google.com,csv/11B.csv,Male
12A,KULKARNI NILAM AVINASH,12A,images/photos/12A.jpg,Model Colony,Ghole Road ,MNS,0,0,No,www.google.com,csv/12A.csv,Female
12B,PAWAR RAJU / DATTATRAY RAMCHANDRA,12B,images/photos/12B.jpg,Model Colony,Ghole Road ,MNS,0,0,Yes,www.google.com,csv/12B.csv,Male
13A,SANE ASHA RAJESH,13A,images/photos/13A.jpg,Narveer Tanajiwadi,Ghole Road ,MNS,0,0,No,www.google.com,csv/13A.csv,Female
13B,BHOSALE RESHMA ANIL,13B,images/photos/13B.jpg,Narveer Tanajiwadi,Ghole Road ,NCP,0,0,Yes,www.google.com,csv/13B.csv,Female
14A,PARDESHI MEENA RAVI,14A,images/photos/14A.jpg,Deccan College,Yerawda - Sangamwadi ,RPI,0,0,No,www.google.com,csv/14A.csv,Female
14B,BHOSALE SANJAY SHASHIKANT,14B,images/photos/14B.jpg,Deccan College,Yerawda - Sangamwadi,SS,0,0,No,www.google.com,csv/14B.csv,Male
15A,ARADE SHASHIKALA SUDAM,15A,images/photos/15A.jpg,Rajguru Road,Yerawda - Sangamwadi,INC,0,0,No,www.google.com,csv/15A.csv,Female
15B,VITKAR KISHOR RAJARAM,15B,images/photos/15B.jpg,Rajguru Road,Yerawda - Sangamwadi,NCP,0,0,Yes,www.google.com,csv/15B.csv,Male
16A,GOGALE SUNIL LALU,16A,images/photos/16A.jpg,Subhashnagar,Yerawda - Sangamwadi,NCP,0,0,Yes,www.google.com,csv/16A.csv,Male
16B,SAWANT SHEETAL AJAY,16B,images/photos/16B.jpg,Subhashnagar,Yerawda - Sangamwadi,INC,0,0,No,www.google.com,csv/16B.csv,Female
17A,SARAVADE MEENAL AANAND,17A,images/photos/17A.jpg,Agakhan Palace,Nagar Road ,NCP,0,0,No,www.google.com,csv/17A.csv,Female
17B,KARNE (GURUJI) BAPURAO GANGARAM,17B,images/photos/17B.jpg,Agakhan Palace,Nagar Road ,NCP,0,0,No,www.google.com,csv/17B.csv,Male
18A,GALANDE SUNITA MARUTI,18A,images/photos/18A.jpg,Vadgaon Sheri,Nagar Road ,INC,0,0,No,www.google.com,csv/18A.csv,Female
18B,MULEEK YOGESH TUKARAM,18B,images/photos/18B.jpg,Vadgaon Sheri,Nagar Road ,BJP,0,0,No,www.google.com,csv/18B.csv,Male
19A,BHAGAT SACHIN RANGNATH,19A,images/photos/19A.jpg,Vadgaon Sheri - Ganesh Nagar,Nagar Road ,SS,0,0,Yes,www.google.com,csv/19A.csv,Male
19B,PATHARE SUMAN BALASAHEB,19B,images/photos/19B.jpg,Vadgaon Sheri - Ganesh Nagar,Nagar Road ,NCP,0,0,No,www.google.com,csv/19B.csv,Female
20A,KODRE CHANCHALA SANDIP,20A,images/photos/20A.jpg,Magarpatta City,Dhole Patil Road ,NCP,0,0,No,www.google.com,csv/20A.csv,Female
20B,GAIKWAD BANDU / SUNIL JAYAVANTRAO,20B,images/photos/20B.jpg,Magarpatta City,Dhole Patil Road ,INC,0,0,No,www.google.com,csv/20B.csv,Male
21A,VAGASKAR RAJENDRA (BABU) RAMCHANDRA,21A,images/photos/21A.jpg,Koregaon Park,Dhole Patil Road ,MNS,0,0,Yes,www.google.com,csv/21A.csv,Male
21B,VAGASKAR VANITA RAJENDRA,21B,images/photos/21B.jpg,Koregaon Park,Dhole Patil Road ,MNS,0,0,No,www.google.com,csv/21B.csv,Female
22A,RAJGURU LATATAI DAYARAM,22A,images/photos/22A.jpg,Naidu Hospital,Dhole Patil Road ,INC,0,0,No,www.google.com,csv/22A.csv,Female
22B,GAIKWAD PRADIP MACHHINDRA,22B,images/photos/22B.jpg,Naidu Hospital,Dhole Patil Road ,NCP,0,0,No,www.google.com,csv/22B.csv,Male
23A,TAYADE AJAY MAGANLAL,23A,images/photos/23A.jpg,Junabazaar Kumbharwada,Dhole Patil Road ,MNS,0,0,Yes,www.google.com,csv/23A.csv,Male
23B,TIKONE SANGITA RAHUL ,23B,images/photos/23B.jpg,Junabazaar Kumbharwada,Dhole Patil Road ,MNS,0,0,No,www.google.com,csv/23B.csv,Female
24A,KHADE NILEEMA DATTATRAY,24A,images/photos/24A.jpg,Balgandharva,Ghole Road ,BJP,0,0,No,www.google.com,csv/24A.csv,Female
24B,BODAKE DEEPAK / BALASAHEB KALURAM,24B,images/photos/24B.jpg,Balgandharva,Ghole Road ,NCP,0,0,Yes,www.google.com,csv/24B.csv,Male
25A,MANJALKAR NEETA AANAND,25A,images/photos/25A.jpg,Wadarwadi-Pandavnagar,Ghole Road ,SS,0,0,No,www.google.com,csv/25A.csv,Female
25B,ALGUDE MUKARI ANNA,25B,images/photos/25B.jpg,Wadarwadi-Pandavnagar,Ghole Road ,INC,0,0,No,www.google.com,csv/25B.csv,Male
26A,JADHAV ASHWINI TUKARAM,26A,images/photos/26A.jpg,MIT - Kelewadi,Kothrud ,INC,0,0,No,www.google.com,csv/26A.csv,Female
26B,MANKAR DEEPAK MADHAV,26B,images/photos/26B.jpg,MIT - Kelewadi,Kothrud ,INC,0,0,Yes,www.google.com,csv/26B.csv,Male
27A,MARATHE VAISHALI RAJENDRA,27A,images/photos/27A.jpg,Sutardara-Kishkindha Naga,Kothrud ,INC,0,0,Yes,www.google.com,csv/27A.csv,Female
27B,KADAM RAMCHANDRA / CHANDUSHETH AATMARAM,27B,images/photos/27B.jpg,Sutardara-Kishkindha Naga,Kothrud ,INC,0,0,No,www.google.com,csv/27B.csv,Male
28A,MARNE JAYASHREE GAJANAN,28A,images/photos/28A.jpg,ARDE - Mhatobanagar,Kothrud ,MNS,0,0,Yes,www.google.com,csv/28A.csv,Female
28B,SHINDE KISHOR NANASAHEB,28B,images/photos/28B.jpg,ARDE - Mhatobanagar,Kothrud ,MNS,0,0,Yes,www.google.com,csv/28B.csv,Male
29A,KEMSE SHANKAR DATTATRAY,29A,images/photos/29A.jpg,Bavdhan Khurd,Kothrud ,NCP,0,0,No,www.google.com,csv/29A.csv,Male
29B,KANOJIYA (CHAUDHARI) PUSHPA KAILAS,29B,images/photos/29B.jpg,Bavdhan Khurd,Kothrud ,MNS,0,0,No,www.google.com,csv/29B.csv,Female
30A,DANGAT BHAGYASHREE KAILAS,30A,images/photos/30A.jpg,Popularnagar Malwadi,Warje Karvenagar ,MNS,0,0,No,www.google.com,csv/30A.csv,Female
30B,DODAKE SACHIN SHIVAJI,30B,images/photos/30B.jpg,Popularnagar Malwadi,Warje Karvenagar ,NCP,0,0,Yes,www.google.com,csv/30B.csv,Male
31A,BARATE DILIP PRABHAKAR,31A,images/photos/31A.jpg,Shivane - Warje - Ramnagar,Warje Karvenagar ,INC,0,0,Yes,www.google.com,csv/31A.csv,Male
31B,DUDHANE LAXMI DEVRAM,31B,images/photos/31B.jpg,Shivane - Warje - Ramnagar,Warje Karvenagar ,NCP,0,0,No,www.google.com,csv/31B.csv,Female
32A,MAKWAN SUREKHA AVINASH,32A,images/photos/32A.jpg,Karvenagar - Gosavivasti,Warje Karvenagar ,MNS,0,0,No,www.google.com,csv/32A.csv,Female
32B,BARATE RAJABHAU KISAN,32B,images/photos/32B.jpg,Karvenagar - Gosavivasti,Warje Karvenagar ,MNS,0,0,No,www.google.com,csv/32B.csv,Male
33A,MOKATE YOGESH SHRIKANT,33A,images/photos/33A.jpg,Dahanukar Colony,Warje Karvenagar ,SS,0,0,No,www.google.com,csv/33A.csv,Male
33B,DESHPANDE SANGITA SHAM,33B,images/photos/33B.jpg,Dahanukar Colony,Warje Karvenagar ,SS,0,0,No,www.google.com,csv/33B.csv,Female
34A,SUTAR PRUTHVIRAJ SHASHIKANT,34A,images/photos/34A.jpg,Gujrat Colony,Kothrud ,SS,0,0,No,www.google.com,csv/34A.csv,Male
34B,MOHOL MONIKA MURLIDHAR,34B,images/photos/34B.jpg,Gujrat Colony,Kothrud ,BJP,0,0,No,www.google.com,csv/34B.csv,Female
35A,BADHE PRASHANT LAXMAN,35A,images/photos/35A.jpg,Deenanath Mangeshkar Hospital,Warje Karvenagar ,SS,0,0,Yes,www.google.com,csv/35A.csv,Male
35B,KULKARNI MEDHA VISHRAM,35B,images/photos/35B.jpg,Deenanath Mangeshkar Hospital,Warje Karvenagar ,BJP,0,0,No,www.google.com,csv/35B.csv,Female
36A,RANE ANIL BABURAO,36A,images/photos/36A.jpg,Kamla Nehru Park,Ghole Road ,MNS,0,0,No,www.google.com,csv/36A.csv,Male
36B,SAHASTRABUDHHE MADHURI SHRIRAM,36B,images/photos/36B.jpg,Kamla Nehru Park,Ghole Road ,BJP,0,0,No,www.google.com,csv/36B.csv,Female
37A,RASNE HEMANT NARAYAN,37A,images/photos/37A.jpg,Shaniwarwada,Kasba Vishrambagwada ,BJP,0,0,No,www.google.com,csv/37A.csv,Male
37B,TILAK MUKTA SHAILESH,37B,images/photos/37B.jpg,Shaniwarwada,Kasba Vishrambagwada ,BJP,0,0,Yes,www.google.com,csv/37B.csv,Female
38A,DAKHAVE ANITA DINESH (BHAIYA),38A,images/photos/38A.jpg,Kasba Peth,Kasba Vishrambagwada ,MNS,0,0,No,www.google.com,csv/38A.csv,Female
38B,DHANGEKAR RAVINDRA HEMRAJ,38B,images/photos/38B.jpg,Kasba Peth,Kasba Vishrambagwada ,MNS,0,0,Yes,www.google.com,csv/38B.csv,Male
39A,ZENDE SONAM MAYUR,39A,images/photos/39A.jpg,KEM Hospital,Bhawani Peth ,SS,0,0,No,www.google.com,csv/39A.csv,Female
39B,BIDKAR GANESH MADHUKAR,39B,images/photos/39B.jpg,KEM Hospital,Bhawani Peth,BJP,0,0,Yes,www.google.com,csv/39B.csv,Male
40A,GHODAKE LAXMITAI BALASAHEB,40A,images/photos/40A.jpg,Collectorate,Dhole Patil Road ,MNS,0,0,Yes,www.google.com,csv/40A.csv,Female
40B,SHINDE ARVIND TUKARAM,40B,images/photos/40B.jpg,Collectorate,Dhole Patil Road ,INC,0,0,No,www.google.com,csv/40B.csv,Male
41A,MHASKE PRASHANT AMBADAS,41A,images/photos/41A.jpg,Sopan Baug - Vikasnagar,Kondhwa Wanavdi ,INC,0,0,Yes,www.google.com,csv/41A.csv,Male
41B,KAVADE SUREKHA CHANDRAKANT,41B,images/photos/41B.jpg,Sopan Baug - Vikasnagar,Kondhwa Wanavdi ,NCP,0,0,No,www.google.com,csv/41B.csv,Female
42A,KAPRE VIJAYA HANUMANT (AABA),42A,images/photos/42A.jpg,"Lohiya Garden, Vaiduwadi",Hadapsar ,NCP,0,0,No,www.google.com,csv/42A.csv,Female
42B,AALKUNTE AANAND ANNA,42B,images/photos/42B.jpg,"Lohiya Garden, Vaiduwadi",Hadapsar ,NCP,0,0,Yes,www.google.com,csv/42B.csv,Male
43A,TUPE CHETAN VITTHAL (PATIL),43A,images/photos/43A.jpg,Sadhana Vidyalay,Hadapsar ,NCP,0,0,No,www.google.com,csv/43A.csv,Male
43B,PAWAR RANJANA SHIVAJI,43B,images/photos/43B.jpg,Sadhana Vidyalay,Hadapsar ,NCP,0,0,No,www.google.com,csv/43B.csv,Female
44A,BANKAR VAISHALI SUNIL,44A,images/photos/44A.jpg,Gliding Centre,Hadapsar ,NCP,0,0,No,www.google.com,csv/44A.csv,Female
44B,DESHMUKH VIJAY,44B,images/photos/44B.jpg,Gliding Centre,Hadapsar ,SS,0,0,No,www.google.com,csv/44B.csv,Male
45A,SAYYAD FARUK YASIN / FARUKBHAI INAMDAR,45A,images/photos/45A.jpg,Mohammadwadi,Hadapsar ,SS,0,0,Yes,www.google.com,csv/45A.csv,Male
45B,WADKAR VIJAYA POPAT,45B,images/photos/45B.jpg,Mohammadwadi,Hadapsar ,INC,0,0,No,www.google.com,csv/45B.csv,Female
46A,LONDHE SATISHBHAU VAMANRAO,46A,images/photos/46A.jpg,Wanavdi - Ramtekdi,Kondhwa Wanavdi ,INC,0,0,Yes,www.google.com,csv/46A.csv,Male
46B,SHIVARKAR KAVITA CHANDRAKANT,46B,images/photos/46B.jpg,Wanavdi - Ramtekdi,Kondhwa Wanavdi ,INC,0,0,No,www.google.com,csv/46B.csv,Female
47A,JANJOT SUDHIR RAMAKANT,47A,images/photos/47A.jpg,Arunkumar Vaidya Stadium,Bhawani Peth,INC,0,0,Yes,www.google.com,csv/47A.csv,Male
47B,KHAN JILEHUMA MOSHRIF,47B,images/photos/47B.jpg,Arunkumar Vaidya Stadium,Bhawani Peth,INC,0,0,No,www.google.com,csv/47B.csv,Female
48A,AANDEKAR RAJASHREETAI SURYAKANT,48A,images/photos/48A.jpg,Palkhi Vithoba Mandir,Bhawani Peth,NCP,0,0,No,www.google.com,csv/48A.csv,Female
48B,AANDEKAR UDAYKANT RANOJI,48B,images/photos/48B.jpg,Palkhi Vithoba Mandir,Bhawani Peth,NCP,0,0,Yes,www.google.com,csv/48B.csv,Male
49A,GADALE SUNANDA SATISH,49A,images/photos/49A.jpg,Dr. Kotnis Hospital,Kasba Vishrambagwada ,INC,0,0,No,www.google.com,csv/49A.csv,Female
49B,KACHI MILIND INDRAKUMAR,49B,images/photos/49B.jpg,Dr. Kotnis Hospital,Kasba Vishrambagwada ,INC,0,0,Yes,www.google.com,csv/49B.csv,Male
