"AUNDH - BANER","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"8A","17-18","1","Stair case work at Samaj Mandir ","79,911.53","Buildings","","",""
"8A","17-18","2","Repair for Samaj Mandir","93,906.75","Buildings","","",""
"8A","17-18","3","Benches work","169,929.45","Benches","","",""
"8A","17-18","4","Dustbins for Dry and Wet Waste  ","200,000.00","Dustbin/Buckets","","",""
"8A","17-18","5","Supply of Jute Bag","100,000.00","Bags","","",""
"8A","17-18","6","Construction of iron based shade and repair work ","157,817.17","Buildings","","",""
"8A","17-18","7","Providing Benches ","159,815.27","Benches","","",""
"8A","17-18","8","Installation of electric motor for Public Toilets ","121,952.44","Electrification","","",""
"8A","17-18","9","Installation of Sign/Name boards ","199,692.40","Nameplates","","",""
"8A","17-18","10","Electrification of street ","186,985.89","Electrification","","",""
"8A","17-18","11","Work related to electricity ","168,209.05","Electrification","","",""
"8B","17-18","1","Providing benches ","139,527.41","Benches","","",""
"8B","17-18","2","Repair work of hall in school building ","136,988.77","Buildings","","",""
"8B","17-18","3","Installation of name boards ","125,535.42","Nameplates","","",""
"8B","17-18","4","Small and big buckets for waste segregation ","200,000.00","Dustbin/Buckets","","",""
"8B","17-18","5","Installation of Sign/Name boards ","125,220.97","Nameplates","","",""
"8B","17-18","6","Painting of School and renovation of school office ","115,400.13","Buildings","","",""
"8B","17-18","7","Construction of footpath ","118,856.89","Footpath","","",""
"8B","17-18","8","Providing benches ","145,277.52","Benches","","",""
"8C","17-18","1","Providing Jute bags ","100,000.00","Bags","","",""
"8C","17-18","2","Providing trollys for waste collection","200,000.00","Waste disposal","","",""
"8C","17-18","3","Providing trollys for waste collection ","200,000.00","Waste disposal","","",""
"8C","17-18","4","Providing small buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"8C","17-18","5","Providing big buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"8C","17-18","6","Installation of Sign/Name boards ","125,008.16","Nameplates","","",""
"8C","17-18","7","Work related to electricity ","135,224.82","Electrification","","",""
"8C","17-18","8","Work related to electricity ","95,855.58","Electrification","","",""
"8D","17-18","1","Providing trollys ","200,000.00","Waste disposal","Resolved","चौकोनी लोखंडी गाडे पुरवणे is the description. Mostly it will be for waste collection. But how to sure. Hence Expense code not chosen ",""
"8D","17-18","2","Providing big buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"8D","17-18","3","Collecting Waste (राडारोडा) from roads ","127,441.60","Cleaning","","",""
"8D","17-18","4","Providing Jute bags ","100,000.00","Bags","","",""
"8D","17-18","5","Providing trollys ","200,000.00","Waste disposal","Resolved","डमरू गाडे पुरवणे what does this mean? Hence code not chosen ",""
"8D","17-18","6","Work related to electricity ","169,532.50","Electrification","","",""
"8D","17-18","7","Work related to electricity ","169,150.00","Electrification","","",""
"8D","17-18","8","Work related to electricity ","169,966.00","Electrification","","",""
"9A","17-18","1","Providing big buckets to societies ","200,000.00","Dustbin/Buckets","Resolved","Providing big buckets for what is not specified? Assumption is for waste hence accrodingly code selected ",""
"9A","17-18","2","Providing small buckets to societies ","200,000.00","Dustbin/Buckets","","",""
"9A","17-18","3","Spread Murum to diffrent places (विविध ठिकाणी मुरूम पुरवणे आणि पसरवणे )","129,772.50","Road","","",""
"9A","17-18","4","Installation of Sign/Name boards ","126,952.08","Nameplates","","",""
"9A","17-18","5","Providing cotton bags ","200,000.00","Bags","","",""
"9A","17-18","7","Providing Jute bags ","200,000.00","Bags","","",""
"9A","17-18","8","Painting of walls ","125,624.67","Colouring","Resolved","Not sure about which code to put? There is colouring work and under nameplates slogan painting is given ",""
"9B","17-18","1","Providing benches ","142,196.40","Benches","","",""
"9B","17-18","2","Providing benches ","160,014.07","Benches","","",""
"9B","17-18","3","Spread Murum to diffrent places (विविध ठिकाणी मुरूम पुरवणे आणि पसरवणे )","147,662.19","Road","","",""
"9B","17-18","4","Putting a drainage line ","164,099.16","Drainage","","",""
"9B","17-18","5","Putting a drainage line ","143,471.11","Drainage","","",""
"9B","17-18","6","Putting pavement block","141,563.11","Pavement blocks","","",""
"9B","17-18","7","Providing buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"9B","17-18","8","Providing trollies for waste collection","200,000.00","Waste disposal","","",""
"9B","17-18","9","Acquiring Grass Cutting machine ","100,000.00","Garden","","",""
"9B","17-18","10","Putting a drainage line ","199,949.00","Drainage","","",""
"9B","17-18","11","Installation of Sign boards ","95,206.45","Nameplates","","",""
"9B","17-18","12","Installing Non electric Water Disinfection System","99,530.00","Water supply","","",""
"9C","17-18","1","Putting pavement block","149,620.71","Pavement blocks","","",""
"9C","17-18","2","Building Cement Roads ","149,966.12","Concretization","","",""
"9C","17-18","3","Building Cement Roads ","153,407.23","Concretization","","",""
"9C","17-18","4","Providing buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"9C","17-18","5","Installation of Sign boards ","129,498.04","Nameplates","","",""
"9C","17-18","6","Providing Benches ","148,391.63","Benches","","",""
"9C","17-18","7","Providing Benches ","148,391.63","Benches","","",""
"9C","17-18","8","Putting Interlocking blocks","109,634.16","Pavement blocks","","",""
"9C","17-18","8","Acquiring Grass Cutting machine for Health Department ","200,000.00","Garden","No Issue","",""
"9C","17-18","10","Work related to electricity ","135,600.18","Electrification","","",""
"9C","17-18","11","Development","200,000.00","Development work","Resolved","No work specified and yet 2 lacs shown spent. Pls check source data ",""
"9D","17-18","1","Concretization ","151,599.68","Concretization","","",""
"9D","17-18","2","Installing Signboards for PMC project sights ","129,606.30","Nameplates","","",""
"9D","17-18","3","Installing open gym ","200,000.00","Gym","","",""
"9D","17-18","3","Installing open gym ","200,000.00","Gym","","",""
"9D","17-18","4","Providing big buckets for waste collection ","200,000.00","Dustbin/Buckets","","",""
"9D","17-18","5","Providing buckets for waste segregation ","200,000.00","Dustbin/Buckets","","",""
"9D","17-18","6","Putting blocks","136777.28","Pavement blocks","","",""
"9D","17-18","7","Work related to electricity ","135,224.82","Electrification","","",""
"8A","18-19","1","Providing Jute bags ","200,000.00","Bags","","",""
"8A","18-19","2","Providing Jute bags ","200,000.00","Bags","","",""
"8A","18-19","3","Providing benches ","130,123.55","Benches","","",""
"8A","18-19","4","Providing big buckets ","200,000.00","Dustbin/Buckets","","",""
"8A","18-19","5","Electricity work in toilet","134,919.26","Electrification","","",""
"8A","18-19","6","Electricity work in toliet ","134,964.69","Electrification","","",""
"8A","18-19","7","Disaster Fund for Kerala floods","100,000.00","Help / Fund / Relief Work","","",""
"8A","18-19","8","Constructing staircase for Vihar","168,977.24","Buildings","","",""
"8A","18-19","9","Buying Canvas Bag Pet for GEM website ","197,316.00","Bags","Resolved","Description not clear and not understood. Pls check the source data ",""
"8B","18-19","1","Installation of Name/Sign boards ","140,107.97","Nameplates","","",""
"8B","18-19","2","Installation of Name/Sign boards ","177,905.49","Nameplates","","",""
