"HADAPSAR - MUNDHWA","","","","","","","",""
"","","","","","","4","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"23A","20-21","1","Electrification/new street lights","197,507.00","Electrification","No Issue","",""
"23C","20-21","2","Electrification/new street lights","197,478.17","Electrification","No Issue","",""
"26C","20-21","3","Electrification/new street lights","197,014.68","Electrification","No Issue","",""
"23A","20-21","4","Pavement Blocks / Grouting / Laying tiles","101,393.33","Pavement blocks","No Issue","",""
"23A","20-21","5","Drainage works","120,297.36","Drainage","No Issue","",""
"26D","20-21","6","Pavement Blocks / Grouting / Laying tiles","122,589.39","Pavement blocks","No Issue","",""
"26D","20-21","7","Concretization","185,795.54","Concretization","No Issue","",""
"26D","20-21","8","Drainage works","198,852.69","Drainage","No Issue","",""
"26D","20-21","9","Drainage works","199,248.33","Drainage","No Issue","",""
"22C","20-21","10","Electrification/new street lights","199,413.97","Electrification","No Issue","",""
"22C","20-21","11","Electrification/new street lights","196,924.87","Electrification","No Issue","",""
"23A","20-21","12","Electrification/new street lights","197,817.46","Electrification","No Issue","",""
"23B","20-21","13","Electrification/new street lights","197,369.50","Electrification","No Issue","",""
"23B","20-21","14","Electrification/new street lights","197,411.64","Electrification","No Issue","",""
"23D","20-21","15","Electrification/new street lights","121,426.00","Electrification","No Issue","",""
"26B","20-21","16","Electrification/new street lights","197,340.00","Electrification","No Issue","",""
"26B","20-21","17","Electrification/new street lights","174,199.78","Electrification","No Issue","",""
"26B","20-21","18","Electrification/new street lights","174,656.61","Electrification","No Issue","",""
"26C","20-21","19","Electrification/new street lights","197,869.38","Electrification","No Issue","",""
"26C","20-21","20","Electrification/new street lights","197,198.75","Electrification","No Issue","",""
"22A","20-21","21","Drainage works","115,618.15","Drainage","No Issue","",""
"22A","20-21","22","Drainage works","115,618.15","Drainage","No Issue","",""
"22A","20-21","23","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","115,767.30","Buildings","No Issue","",""
"22A","20-21","24","Building toilets / maintenance etc.","115,737.86","Toilet","No Issue","",""
"22A","20-21","25","Concretization","116,055.71","Concretization","No Issue","",""
"22A","20-21","26","Electrification/new street lights","198,016.77","Electrification","No Issue","",""
"22C","20-21","27","Temporary Shed construction for yoga in Market terrace","150,744.70","Buildings","No Issue","",""
"23B","20-21","28","Electrification/new street lights","198,993.93","Electrification","No Issue","",""
"22A","20-21","29","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","115,742.64","Buildings","No Issue","",""
"22A","20-21","30","Pavement Blocks / Grouting / Laying tiles","115,500.00","Pavement blocks","No Issue","",""
"26C","20-21","31","Market related works","122,336.59","Markets /Mandi","No Issue","",""
"26C","20-21","32","Installation of railing along footpath
","144,536.37","Footpath","No Issue","",""
"22B","20-21","33","Electrification/new street lights","197,785.31","Electrification","No Issue","",""
"22B","20-21","34","Electrification/new street lights","179,863.49","Electrification","No Issue","",""
"22D","20-21","35","Electrification/new street lights","197,478.17","Electrification","No Issue","",""
"26B","20-21","36","Electrification/new street lights","173,489.04","Electrification","No Issue","",""
"26B","20-21","37","Electrification/new street lights","197,420.51","Electrification","No Issue","",""
"22D","20-21","38","Electrification/new street lights","197,403.88","Electrification","No Issue","",""
"22D","20-21","39","Electrification/new street lights","197,198.75","Electrification","No Issue","",""
"22D","20-21","40","Electrification/new street lights","197,403.88","Electrification","No Issue","",""
"23B","20-21","41","Drainage works","116,160.68","Drainage","No Issue","",""
"23B","20-21","42","Pavement Blocks / Grouting / Laying tiles","116,150.46","Pavement blocks","No Issue","",""
"23B","20-21","43","Drainage works","116,200.66","Drainage","No Issue","",""
"26C","20-21","44","Drainage works","128,182.72","Drainage","No Issue","",""
"26C","20-21","45","Drainage works","124,463.51","Drainage","No Issue","",""
"42A","20-21","46","Bags","200,000.00","Bags","No Issue","",""
"42A","20-21","47","Bags","200,000.00","Bags","No Issue","",""
"42A","20-21","48","Bags","200,000.00","Bags","No Issue","",""
"22D","20-21","49","Pavement Blocks / Grouting / Laying tiles","121,058.72","Pavement blocks","No Issue","",""
"26A","20-21","50","Drainage works","113,614.01","Drainage","No Issue","",""
"26A","20-21","51","Concretization","87,679.99","Concretization","No Issue","",""
"26A","20-21","52","Drainage related work","117,694.58","Drainage","No Issue","",""
"23A","20-21","53","Blocks installation and Concretization","179,508.00","Concretization","No Issue","",""
"22C","20-21","54","Concretization","138,791.28","Concretization","No Issue","",""
"22C","20-21","55","Pavement Blocks / Grouting / Laying tiles","140,245.95","Pavement blocks","No Issue","",""
"22C","20-21","56","Concretization and installation of blocks","114,136.10","Concretization","Resolved","Is this amount correct???",""
"22D","20-21","57","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","147,292.28","Buildings","No Issue","",""
"22D","20-21","58","Drainage works","133,944.15","Drainage","No Issue","",""
"22D","20-21","59","Concretization","137,317.35","Concretization","No Issue","",""
"42A","20-21","60","Drainage works","179,575.75","Drainage","No Issue","",""
"42A","20-21","61","Maintenance related work","197,823.03","Maintenance","No Issue","",""
"42A","20-21","62","Drainage works","197,431.51","Drainage","No Issue","",""
"42A","20-21","63","Drainage works","197,813.93","Drainage","No Issue","",""
"42A","20-21","64","Drainage works","197,823.30","Drainage","No Issue","",""
"42A","20-21","65","Drainage works","197,619.65","Drainage","No Issue","",""
"22C","20-21","66","Drainage works","145,312.73","Drainage","No Issue","",""
"22C","20-21","67","Pavement Blocks / Grouting / Laying tiles","147,653.03","Pavement blocks","No Issue","",""
"22B","20-21","68","Drainage works","179,184.00","Drainage","No Issue","",""
"26D","20-21","69","Electrification/new street lights","197,550.00","Electrification","No Issue","",""
"23A","20-21","70","Drainage works","122,252.00","Drainage","No Issue","",""
"23A","20-21","71","Pavement Blocks / Grouting / Laying tiles","140,998.00","Pavement blocks","No Issue","",""
"23A","20-21","72","Pavement Blocks / Grouting / Laying tiles","140,312.00","Pavement blocks","No Issue","",""
"23A","20-21","73","Drainage works","100,037.28","Drainage","No Issue","",""
"26A","20-21","74","Concretization","107,506.22","Concretization","No Issue","",""
"23C","20-21","75","Drainage works","199,806.14","Drainage","No Issue","",""
"23C","20-21","76","Drainage works","199,899.15","Drainage","No Issue","",""
"23C","20-21","77","Drainage works","199,894.17","Drainage","No Issue","",""
"23B","20-21","78","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"26B","20-21","79","Disaster Relief Work / Contribution to PM Cares etc","143,530.00","Help / Fund / Relief Work","No Issue","",""
"22B","20-21","80","Drainage works","196,425.60","Drainage","No Issue","",""
"22A","20-21","81","Mainetnance and cleaning works","199,983.00","Cleaning","No Issue","",""
"22A","20-21","82","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","Resolved","Confirm amount (sheet has the same amount).",""
"23D","20-21","83","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","158,659.57","Buildings","No Issue","",""
"23D","20-21","84","Building toilets / maintenance etc.","99,981.00","Cleaning","No Issue","",""
"23D","20-21","85","Black phenyl purchasing for toilets","199,962.00","Cleaning","No Issue","",""
"23D","20-21","86","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"26B","20-21","87","Disaster Relief Work / Contribution to PM Cares etc","199,956.34","Help / Fund / Relief Work","No Issue","",""
"26B","20-21","88","Disaster Relief Work / Contribution to PM Cares etc","199,956.34","Help / Fund / Relief Work","No Issue","",""
"42A","20-21","89","Disaster Relief Work / Contribution to PM Cares etc","100,000.00","Help / Fund / Relief Work","No Issue","",""
"23C","20-21","90","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"42A","20-21","91","Disaster Relief Work / Contribution to PM Cares etc","100,000.00","Help / Fund / Relief Work","No Issue","",""
"22B","20-21","92","Drainage works","197,932.76","Drainage","No Issue","",""
"23A","20-21","93","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"26A","20-21","94","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"26C","20-21","95","Disaster Relief Work / Contribution to PM Cares etc","200,000.00","Help / Fund / Relief Work","No Issue","",""
"23C","20-21","96","Drainage works","199,898.40","Drainage","No Issue","",""
"23C","20-21","97","Drainage works","199,775.52","Drainage","No Issue","",""
"23C","20-21","98","Drainage works","199,899.15","Drainage","No Issue","",""
"23C","20-21","99","Drainage works","199,894.10","Drainage","No Issue","",""
"23C","20-21","100","Drainage works","199,806.14","Drainage","No Issue","",""
"23C","20-21","101","Pavement Blocks / Grouting / Laying tiles","199,275.28","Pavement blocks","No Issue","",""
"23B","20-21","102","Drainage works","199,740.92","Drainage","No Issue","",""
"23B","20-21","103","Drainage works","199,740.92","Drainage","No Issue","",""
"23D","20-21","104","Drainage works","95,305.62","Drainage","No Issue","",""
"22D","19-20","1","Electrification/new street lights","174,278.98","Electrification","No Issue","",""
"26A","19-20","2","Electrification/new street lights","172,077.33","Electrification","No Issue","",""
"26B","19-20","3","Electrification/new street lights","197,339.81","Electrification","No Issue","",""
"26C","19-20","4","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","155,050.06","Nameplates","No Issue","",""
"26C","19-20","5","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","155,050.06","Nameplates","No Issue","",""
