"KASBA - VISHRAMBAUG WADA","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"15A","17-18","1","Water dispensers  ","198,661.88","Water supply","Resolved","Code?",""
"15A","17-18","2","Public library shed","162,948.61","Library","No Issue","",""
"15A","17-18","3","Water pipeline","167,802.60","Water supply","No Issue","",""
"15A","17-18","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","17-18","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15A","17-18","6","Nameplates","155,216.56","Nameplates","No Issue","",""
"15B","17-18","1","Footpath work","155,607.79","Footpath","No Issue","",""
"15B","17-18","2","Nameplates","148,225.55","Nameplates","No Issue","",""
"15B","17-18","3","Open Yoga Kendra repair work","193,870.31","Gym","No Issue","",""
"15B","17-18","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15B","17-18","5","Public library shed","179,388.02","Library","No Issue","",""
"15B","17-18","6","Cotton bags distributed","200,000.00","Bags","No Issue","",""
"15B","17-18","7","Drainage repairs","178,561.61","Drainage","No Issue","",""
"15C","17-18","1","Ganpati Visarjan tanks repair","144,775.29","Ganeshotsav","No Issue","",""
"15C","17-18","2","Patra shed","148,897.91","Buildings","No Issue","",""
"15C","17-18","3","Footpath work","159,505.75","Footpath","No Issue","",""
"15C","17-18","4","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15C","17-18","5","Nameplates","140,405.96","Nameplates","No Issue","",""
"15C","17-18","6","Cleaning work- Rada roda","153,759.69","Cleaning","No Issue","",""
"15C","17-18","7","Rain water harvesting plant","175,506.10","Rain Water Harvesting","No Issue","",""
"15D","17-18","1","Benches","165,553.48","Benches","No Issue","",""
"15D","17-18","2","Water disinfection unit","198,661.81","Water supply","No Issue","",""
"15D","17-18","3","Samajik Gruha repair works","189,980.50","Buildings","No Issue","",""
"15D","17-18","4","Nameplates","148,827.12","Nameplates","No Issue","",""
"15D","17-18","5","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","17-18","6","Jute bags distributed","200,000.00","Bags","No Issue","",""
"15D","17-18","7","Public library shed","159,324.64","Library","No Issue","",""
"16A","17-18","1","Jute bags distributed","200,000.00","Bags","No Issue","",""
"16A","17-18","2","Benches","162,873.85","Benches","No Issue","",""
"16A","17-18","3","Building related works","189,735.90","Buildings","No Issue","",""
"16A","17-18","4","Benches","190,418.76","Benches","No Issue","",""
"16A","17-18","5","Cleaning work- Rada roda","182,004.48","Cleaning","No Issue","",""
