"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"3A","17-18","1","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","2","Footpaths / pedestrian crossings","200,000.00","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","200,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","4","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","5","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","6","Benches","200,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","7","Rain water line cleaning","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","1","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","200,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","2","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","3","Building toilets / maintenance etc.","200,000.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","4","Benches","200,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","5","Building toilets / maintenance etc.","200,000.00","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","6","Wall painting (slogans)","200,000.00","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","7","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","17-18","9","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","1","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","2","Mainetnance and cleaning works","200,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3C","17-18","3","Gym / gym equipments","200,000.00","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","1","Picking of radar waste","200,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","2","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","3","Picking of radar waste","200,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","4","Drainage works","200,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","5","Water pipelines, repairing etc.","200,000.00","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","17-18","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","1","Benches","125,546.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","2","Direction boards installation","158,462.57","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","3","Drainage works","139,106.20","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","4","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4A","17-18","5","Picking of radar waste","137,731.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","1","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","2","Benches","100,166.40","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","3","Benches","139,121.32","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","4","Distributing Dustbins/buckets","199,500.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","5","Drainage works","97,218.81","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","6","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","7","Push vehicles supply","199,800.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","8","Furniture works, curtains etc.","143,809.81","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","9","Drainage works","98,909.62","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","17-18","10","Drainage works","121,600.71","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","17-18","1","Direction boards installation","158,696.95","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"4C","17-18","2","CCTV installation, repairing etc","200,000.00","CCTV","No Issue","","","","","","","","","","","","","","","","","",""
"4C","17-18","3","Drainage works","151,658.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","17-18","4","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4C","17-18","5","Picking of radar waste","121,139.76","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","1","Benches","199,400.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","2","direction boards installation","158,896.71","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","3","Drainage works","115,883.77","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","4","Jute bags/ cloth/ canvas bags etc.","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","5","Picking of radar waste","122,139.76","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","6","Toilet repair work","98,733.87","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"4D","17-18","7","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","1","Furniture works, curtains etc.","163,000.00","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","2","Benches","128,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","3","Electrical works at toilet","135,000.00","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","4","Drainage works","176,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","189,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","6","Picking of radar waste","149,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","7","Drainage works","159,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","128,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","1","Benches","127,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","2","Wall painting (slogans)","149,000.00","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","3","Colouring works","176,000.00","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","4","Distributing Computers","161,000.00","Computers","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","5","Drainage works","134,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","6","Gym / gym maintenance","144,000.00","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","7","Drainage works","197,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","8","Drainage works","128,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","9","White-yellow stripes painting on road","129,000.00","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","10","Bags","200,000.00","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","1","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","157,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","2","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","3","Push vehicles supply","200,000.00","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","4","Benches","161,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","5","Picking of radar waste","134,000.00","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","6","Drainage works","144,000.00","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","7","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197,000.00","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","8","Benches","128,000.00","Benches","No Issue","","","","","","","","","","","","","","","","","",""
