"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"35A","18-19","1","Work related to road shouldering","197,174.25","Road","No Issue","",""
"35A","18-19","2","Benches for senior citizens","194,695.33","Benches","No Issue","",""
"35A","18-19","3","Setting up water lines","145,421.64","Water supply","No Issue","",""
"35A","18-19","4","Supplying push vehicles for garbage collecting helpers","74,482.64","Waste disposal","No Issue","",""
"35A","18-19","5","Drainage related work","98,441.98","Drainage","No Issue","",""
"35A","18-19","6","Repairing of toilets","127,182.64","Toilet","No Issue","",""
"35A","18-19","7","Picking up radar waste","195,550.19","Waste disposal","No Issue","",""
"35A","18-19","8","Drainage repairing and installation","196,757.67","Drainage","No Issue","",""
"35A","18-19","9","Chambers repaining and cleaning","197,065.92","Drainage","No Issue","",""
"35A","18-19","10","Electricity repairing of public toilets","194,902.33","Toilet","No Issue","",""
"35B","18-19","1","Temple repairing and other development works","145,237.99","Development work","No Issue","",""
"35B","18-19","2","Temple, schools repairing and other development works","147,982.57","Development work","No Issue","",""
"35B","18-19","3","Constructing tanks for toilets","167,460.54","Development work","No Issue","",""
"35B","18-19","4","Toilets repairing and other work","149,792.38","Development work","No Issue","",""
"35B","18-19","5","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35B","18-19","6","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35B","18-19","7","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35B","18-19","8","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35B","18-19","9","Installation of steel bollards","199,584.00","Steel Bollards","No Issue","",""
"35C","18-19","1","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35C","18-19","2","Sign boards repairing and installation","197,789.03","Nameplates","No Issue","",""
"35C","18-19","3","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"35C","18-19","4","Installation of drainage lines","89,593.19","Drainage","No Issue","",""
"35D","18-19","1","Miscellaneous work","195,085.09","Maintenance","No Issue","",""
"35D","18-19","2","Miscellaneous work","95,427.68","Maintenance","No Issue","",""
"35D","18-19","3","Purchasing cloth bags","200,000.00","Bags","No Issue","",""
"35D","18-19","4","Work related to tiling and concretization","197,374.78","Concretization","No Issue","",""
"35D","18-19","5","Drainage and chamber repairing","199,803.41","Drainage","No Issue","",""
"35D","18-19","6","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39A","18-19","1","Concretization","200,000.00","Concretization","No Issue","",""
"39A","18-19","2","Concretization","200,000.00","Concretization","No Issue","",""
"39A","18-19","3","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39A","18-19","4","Concretization","200,000.00","Concretization","No Issue","",""
"39A","18-19","5","School nameplates and other work","200,000.00","Nameplates","No Issue","",""
"39A","18-19","6","Concretization","200,000.00","Concretization","No Issue","",""
"39B","18-19","1","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39B","18-19","2","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39B","18-19","3","Drainage related work","196,741.73","Drainage","No Issue","",""
"39B","18-19","4","Concretization in lanes","96,067.00","Concretization","No Issue","",""
"39B","18-19","5","Concretization work","196,235.98","Concretization","No Issue","",""
"39B","18-19","6","Purchasing cloth bags","200,000.00","Bags","No Issue","",""
"39B","18-19","7","Purchasing cloth bags","200,000.00","Bags","No Issue","",""
"39B","18-19","8","Electricity related work","194,916.33","Electrification","No Issue","",""
"39C","18-19","1","Installation of drainage lines","173,982.38","Drainage","No Issue","",""
"39C","18-19","2","Concretization and block installation","197,653.30","Concretization","No Issue","",""
"39C","18-19","3","Drainage related work","149,388.03","Drainage","No Issue","",""
"39C","18-19","4","Vehicles related work","143,131.97","Traffic","No Issue","",""
"39C","18-19","5","Drainage line cleaning and repairing","174,962.85","Drainage","No Issue","",""
"39C","18-19","6","Drainage related work","157,838.14","Drainage","No Issue","",""
"39C","18-19","7","Rainwater line and chamber repairing","111,478.61","Drainage","No Issue","",""
"39D","18-19","1","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"39D","18-19","2","Road and chowk name boards and maintainence work","146,491.33","Nameplates","No Issue","",""
"39D","18-19","3","Development work in health clinics","184,293.70","Medical","No Issue","",""
"39D","18-19","4","Road and chowk name boards and maintainence work","196,999.35","Nameplates","No Issue","",""
"39D","18-19","5","Wall coloring, painting and writing slogans on them","196,999.35","Colouring","No Issue","",""
"40A","18-19","1","Wall coloring and painting","197,791.06","Colouring","No Issue","",""
"40A","18-19","2","Installing wooden benches","184,348.29","Benches","No Issue","",""
"40A","18-19","3","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40A","18-19","4","Installing sign boards","196,180.55","Nameplates","No Issue","",""
"40A","18-19","5","Installing sign boards","196,180.55","Nameplates","No Issue","",""
"40A","18-19","6","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40B","18-19","1","Drainage related work","176,243.43","Drainage","No Issue","",""
"40B","18-19","2","Picking up radar waste","194,514.99","Waste disposal","No Issue","",""
"40B","18-19","3","Installing nameplates","170,847.53","Nameplates","No Issue","",""
"40B","18-19","4","Picking up radar waste","195,517.57","Waste disposal","No Issue","",""
"40B","18-19","5","Repairing of water lines and other work","193,196.07","Drainage","No Issue","",""
"40B","18-19","6","Drainage line cleaning and repairing","176,136.24","Drainage","No Issue","",""
"40B","18-19","7","Installing nameplates","170,829.59","Nameplates","No Issue","",""
"40B","18-19","8","Installing nameplates","95,944.41","Nameplates","Resolved","Wrong amount in the received information. Extra digit maybe.","Corrected as 95941.44"
"40C","18-19","1","Picking up radar waste","89,184.82","Waste disposal","No Issue","",""
"40C","18-19","2","Drainage line cleaning and repairing","197,930.06","Drainage","No Issue","",""
"40C","18-19","3","Picking up radar waste","194,595.20","Waste disposal","No Issue","",""
"40D","18-19","1","Drainage line and concrete work","197,697.84","Drainage","No Issue","",""
"40D","18-19","2","Fencing work for park","188,239.97","Fencing","No Issue","",""
"40D","18-19","3","Installing sheds","192,772.67","Development work","No Issue","",""
"40D","18-19","4","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40D","18-19","5","Supplying cloth bags","200,000.00","Bags","No Issue","",""
"40D","18-19","6","Installing sheds","192,772.67","Development work","No Issue","",""
"40D","18-19","7","Installing facilities in park","98,789.65","Garden","No Issue","",""
"40D","18-19","8","Installing attractive items in park","196,310.84","Garden","No Issue","",""
"35A","19-20","1","Drainage repairing related work","199,962.45","Drainage","No Issue","",""
"35A","19-20","2","Drainage repairing related work","197,257.96","Drainage","No Issue","",""
"35A","19-20","3","Road related work","197,515.98","Road","No Issue","",""
"35A","19-20","4","Community temple repairing","194,516.54","Development work","No Issue","",""
"35A","19-20","5","Supplying murum","99,875.87","Development work","Resolved","I think this is related to rocks used in construction but not sure.","Looks okay"
"35A","19-20","6","Electricity related work","196,279.64","Electrification","No Issue","",""
