"WANAWADI - RAM TEKDI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"24A","18-19","1","rastyanvar unchi maryada basavane","170,379.77","Traffic","Resolved","","Traffic related- Tanmay"
"24A","18-19","2","nameplates","176,945.46","Nameplates","","",""
"24A","18-19","3","nameplates","176,945.46","Nameplates","","",""
"24A","18-19","4","bags","200,000.00","Bags","","",""
"24A","18-19","5","bags","200,000.00","Bags","","",""
"24A","18-19","6","bags","200,000.00","Bags","","",""
"24C","18-19","1","jute bags","200,000.00","Bags","","",""
"24C","18-19","2","jute bags ","200,000.00","Bags","","",""
"24C","18-19","3","jute bags ","200,000.00","Bags","","",""
"24C","18-19","4","jute bags ","200,000.00","Bags","","",""
"24C","18-19","5","jute bags ","200,000.00","Bags","","",""
"24C","18-19","6","rangarangoti and sushobhikaran ","196,621.11","Decoration","","",""
"25A","18-19","1","fog machine and grass cutting machine purchase","200,000.00","Cleaning","Resolved","","Cleaning- Tanmay"
"25A","18-19","2","drainage line cleaning ","193,000.75","Drainage","","",""
"25A","18-19","3","drainage line cleaning ","194,314.49","Drainage","","",""
"25A","18-19","4","drainage related","97,109.97","Drainage","","",""
"25A","18-19","5","kapadi bags ","200,000.00","Bags","","",""
"25A","18-19","6","building a library ","179,157.75","Library","","",""
"25A","18-19","7","building a library ","179,157.75","Library","","",""
"25B","18-19","1","kapadi bags ","195,500.00","Bags","","",""
"25B","18-19","2","kapadi bags ","193,500.00","Bags","","",""
"25B","18-19","3","kapadi bags ","193,500.00","Bags","","",""
"25B","18-19","4","fog machine and grass cutting machine purchase","197,480.00","Cleaning","Resolved","","Cleaning- Tanmay"
"25B","18-19","5","garbage shade building","198,637.32","Waste disposal","","",""
"25C","18-19","1","sign boards","169,241.63","Nameplates","","",""
"25C","18-19","2","drainage related","169,050.72","Drainage","","",""
"25C","18-19","3","toilet related","142,471.57","Toilet","","",""
"25C","18-19","4","vividha kame kare","179,211.10","Development work","Resolved","no specific work mentioned- do not know where to put it","This is correct- Tanmay"
"25C","18-19","5","basket ball ground development work ","97,528.87","Garden","","",""
"25C","18-19","6","footpath development","168,782.08","Footpath","","",""
"25C","18-19","7","development work ","177,444.71","Development work","","",""
"25C","18-19","8","jute bags ","200,000.00","Bags","","",""
"25C","18-19","9","jute bags","200,000.00","Bags","","",""
"25C","18-19","10","jute bags ","200,000.00","Bags","","",""
"25D","18-19","1","sign boards","169,137.37","Nameplates","","",""
"25D","18-19","2","drainage related","199,342.44","Drainage","","",""
"25D","18-19","3","drainage related","199,342.44","Drainage","","",""
"25D","18-19","4","ground development","198,277.02","Garden","","",""
"25D","18-19","5","ground cleaning ","197,215.81","Cleaning","","",""
"25D","18-19","6","basket ball ground development work ","198,451.51","Garden","","",""
"25D","18-19","7","development work ","97,528.87","Development work","","",""
"25D","18-19","8","dambarikaran","179,055.12","Road","","",""
"25D","18-19","9","jute bags","200,000.00","Bags","","",""
"25D","18-19","10","jute bags ","200,000.00","Bags","","",""
"27A","18-19","1","water pineline ","196,666.17","Water supply","","",""
"27A","18-19","2","fog machine purchase","200,000.00","Cleaning","Resolved","","Cleaning- Tanmay"
"27A","18-19","3","water pineline ","18,328.50","Water supply","","",""
"27A","18-19","4","kapadi bags ","200,000.00","Bags","","",""
"27A","18-19","5","kapadi bags ","200,000.00","Bags","","",""
"27A","18-19","6","sign boards","191,936.68","Nameplates","","",""
"27A","18-19","7","sign boards","195,996.20","Nameplates","","",""
"27A","18-19","8","decorative poles","193,129.69","Decoration","","",""
"27A","18-19","9","decorative poles","193,129.69","Decoration","","",""
"27A","18-19","10","radaroda ","197,344.22","Cleaning","","",""
"27A","18-19","11","library building","91,531.29","Library","","",""
"27B","18-19","1","road development","188,371.98","Road","","",""
"27B","18-19","2","kapadi bags ","200,000.00","Bags","","",""
"27B","18-19","3","kapadi bags ","200,000.00","Bags","","",""
"27B","18-19","4","sign boards","195,025.46","Nameplates","","",""
"27B","18-19","5","radaroda ","187,495.95","Cleaning","","",""
"27B","18-19","6","sign boards","195,465.70","Nameplates","","",""
"27B","18-19","7","road development","139,464.01","Road","","",""
"27B","18-19","8","drainage cleaning","128,376.52","Drainage","","",""
"27C","18-19","1","concritization ","189,038.25","Concretization","","",""
"27C","18-19","2","radaroda ","189,070.90","Cleaning","","",""
"27C","18-19","3","radaroda ","176,457.75","Cleaning","","",""
"27C","18-19","4","electric related ","151,631.56","Electrification","","",""
"27C","18-19","5","drainage cleaning","192,583.58","Drainage","","",""
"27C","18-19","6","concritization ","197,364.16","Concretization","","",""
"27C","18-19","7","cleaning","98,682.08","Cleaning","","",""
"27C","18-19","8","benches ","180,858.64","Benches","","",""
"27C","18-19","9","drainage cleaning","195,085.01","Drainage","","",""
"27C","18-19","10","thermoplastic paint ","194,295.40","Road","","",""
"27D","18-19","1","school repair work ","198,594.26","Buildings","","",""
"27D","18-19","2","gym repair work ","199,310.71","Gym","","",""
"27D","18-19","3","community hall repair work ","94,990.50","Buildings","","",""
"27D","18-19","4","cleaning ","98,682.08","Cleaning","","",""
"27D","18-19","5","school repair work ","96,544.41","Buildings","","",""
"27D","18-19","6","jute bags ","200,000.00","Bags","","",""
"27D","18-19","7","jute bags ","200,000.00","Bags","","",""
"24A","19-20","1","jute bags","200,000.00","Bags","","",""
"24A","19-20","2","jute bags","200,000.00","Bags","","",""
"24A","19-20","3","sign boards","199,162.70","Nameplates","","",""
"24A","19-20","4","sign boards","199,162.70","Nameplates","","",""
"24C","19-20","1","new drainage line  ","199,453.79","Drainage","","",""
"24C","19-20","2","new drainage line  ","98,243.26","Drainage","","",""
"24C","19-20","3","new drainage line  ","198,303.13","Drainage","","",""
"24C","19-20","4","new drainage line  ","198,359.75","Drainage","","",""
"24C","19-20","5","cctv installation ","198,654.18","CCTV","","",""
"24C","19-20","6","kapadi bags ","200,000.00","Bags","","",""
"24C","19-20","7","jute bags ","200,000.00","Bags","","",""
"24C","19-20","8","wall painting","199,588.00","Decoration","","",""
"25A","19-20","1","repair work","198,002.47","Maintenance","","",""
"25A","19-20","2","sign boards","199,414.63","Nameplates","","",""
"25A","19-20","3","sign boards","199,414.63","Nameplates","","",""
"25A","19-20","4","jute bags ","200,000.00","Bags","","",""
"25A","19-20","5","jute bags ","200,000.00","Bags","","",""
"25A","19-20","6","jute bags","200,000.00","Bags","","",""
"25B","19-20","1","jute bags ","200,000.00","Bags","","",""
"25B","19-20","2","jute bags ","100,000.00","Bags","","",""
"25B","19-20","3","jute bags ","200,000.00","Bags","","",""
"25B","19-20","4","sign boards","197,615.29","Nameplates","","",""
"25B","19-20","5","sign boards","197,619.92","Nameplates","","",""
"25B","19-20","6","concritization ","198,954.03","Concretization","","",""
"25B","19-20","7","concritization ","198,954.03","Concretization","","",""
"25B","19-20","8","concritization ","99,792.52","Concretization","","",""
"25B","19-20","9","sign boards","195,094.62","Nameplates","","",""
