"WARJE - KARVE NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"13A","17-18","1","Supplying computers and printers","136,288.15","Computers","No Issue","",""
"13A","17-18","2","Bachat gat","200,000.00","BachatGat","No Issue","",""
"13A","17-18","3","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"13B","17-18","1","Installation of direction plates","130,037.90","Nameplates","No Issue","",""
"13B","17-18","2","Thermoplastic paint related work and vehicles related work","135,679.42","Road","No Issue","",""
"13B","17-18","3","Concrete related work","131,496.62","Concretization","No Issue","",""
"13B","17-18","4","Footpath repairing work","137,505.26","Footpath","No Issue","",""
"13B","17-18","5","Installation of rainwater harvesting in a school","147,992.21","Rain Water Harvesting","No Issue","",""
"13B","17-18","6","Picking up radar waste","139,285.69","Cleaning","No Issue","",""
"13B","17-18","7","Parking and vehicles related boards installation","129,851.42","Nameplates","No Issue","",""
"13B","17-18","8","Installation of benches","129,922.71","Benches","No Issue","",""
"13B","17-18","9","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"13C","17-18","1","Parking and vehicles related boards installation","116,933.00","Nameplates","No Issue","",""
"13C","17-18","2","Installation of direction plates","129,448.70","Nameplates","No Issue","",""
"13C","17-18","3","Improving lighting in the area","167,564.68","Electrification","No Issue","",""
"13C","17-18","4","Footpath repairing work","138,186.87","Footpath","No Issue","",""
"13C","17-18","5","Painting and other repairing work in temple","96,841.80","Buildings","No Issue","",""
"13C","17-18","6","Footpath repairing work","138,220.81","Footpath","No Issue","",""
"13C","17-18","7","Picking up radar waste","137,247.36","Cleaning","No Issue","",""
"13C","17-18","8","Drainage related work","137,549.89","Drainage","No Issue","",""
"13C","17-18","9","Concrete related work","72,060.66","Concretization","No Issue","",""
"13C","17-18","10","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"13D","17-18","1","Picking up radar waste","181,451.09","Cleaning","No Issue","",""
"13D","17-18","2","Installation of iron fences","160,753.07","Fencing","No Issue","",""
"13D","17-18","3","Installation of benches","132,042.98","Benches","No Issue","",""
"13D","17-18","4","Installation of benches","132,042.98","Benches","No Issue","",""
"13D","17-18","5","Parking and vehicles related boards installation","146,559.78","Nameplates","No Issue","",""
"13D","17-18","6","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"13D","17-18","7","Health centers repairing","138,861.82","Buildings","No Issue","",""
"31A","17-18","1","Installation of LED lights","128,051.47","Electrification","No Issue","",""
"31A","17-18","2","Painting and other work in school","76,796.55","Colouring","No Issue","",""
"31A","17-18","3","Installation of benches","184,015.39","Benches","No Issue","",""
"31A","17-18","4","Drainage line installation","109,439.25","Drainage","No Issue","",""
"31A","17-18","5","Installation of nameplates","137,029.72","Nameplates","No Issue","",""
"31A","17-18","6","Paving blocks installation","183,996.07","Pavement blocks","No Issue","",""
"31A","17-18","7","Installation of benches","153,310.91","Benches","No Issue","",""
"31A","17-18","8","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31A","17-18","9","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31B","17-18","1","Installation of poles","128,048.26","Development work","No Issue","",""
"31B","17-18","2","Installation of benches","131,657.62","Benches","No Issue","",""
"31B","17-18","3","Installation of benches","133,136.92","Benches","No Issue","",""
"31B","17-18","4","Installation of benches","129,966.50","Benches","No Issue","",""
"31B","17-18","5","Vehicles related work","100,867.90","Traffic","No Issue","",""
"31B","17-18","6","Setting up toilets","124,279.78","Toilet","No Issue","",""
"31B","17-18","7","Road lighting related work","172,078.80","Electrification","No Issue","",""
"31B","17-18","8","Architecture related work","113,314.01","Buildings","No Issue","",""
"31B","17-18","9","Improving blocks and footpaths","54,404.12","Footpath","Resolved","Wrong amount in the sheet. Written as 5440412.00",""
"31B","17-18","10","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31B","17-18","11","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31C","17-18","1","Installation of benches","181,091.14","Benches","No Issue","",""
"31C","17-18","2","Installation of benches","181,091.14","Benches","No Issue","",""
"31C","17-18","3","Picking up radar waste","139,285.69","Cleaning","No Issue","",""
"31C","17-18","4","Installation of benches","181,091.14","Benches","No Issue","",""
"31C","17-18","5","Installation of benches","172,376.37","Benches","No Issue","",""
"31C","17-18","6","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31C","17-18","7","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"31D","17-18","1","Thermoplastic paint related work","142,610.46","Road","No Issue","",""
"31D","17-18","2","Picking up radar waste","133,602.02","Cleaning","No Issue","",""
"31D","17-18","3","Picking up radar waste","134,956.98","Cleaning","No Issue","",""
"31D","17-18","4","Installation of benches","101,858.43","Benches","No Issue","",""
"31D","17-18","5","Distribution of waste disposal buckets","199,965.60","Cleaning","No Issue","",""
"31D","17-18","6","Distribution of waste disposal buckets","199,965.60","Cleaning","No Issue","",""
"31D","17-18","7","Direction plates installation","161,104.35","Nameplates","No Issue","",""
"31D","17-18","8","Electricity related work","161,104.35","Electrification","No Issue","",""
"31D","17-18","9","Installation of benches","100,011.93","Benches","No Issue","",""
"31D","17-18","10","Installation of benches","99,975.32","Benches","No Issue","",""
"32A","17-18","1","Distribution of buckets","199,836.00","Dustbin/Buckets","No Issue","",""
"32A","17-18","2","Distribution of buckets","199,987.00","Dustbin/Buckets","No Issue","",""
"32A","17-18","3","Distribution of buckets","199,987.20","Dustbin/Buckets","No Issue","",""
"32A","17-18","4","Distribution of buckets","199,836.00","Dustbin/Buckets","Resolved","1999836 is wrong amount entered corrected amount updateded in the cell",""
"32A","17-18","5","Repairing of toilets","147,024.65","Toilet","No Issue","",""
"32A","17-18","6","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"32A","17-18","7","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"32A","17-18","8","Distribution of canvas bags","200,000.00","Bags","No Issue","",""
"32A","17-18","9","Gattu basavne","139,858.88","Pavement blocks","No Issue","",""
"32B","17-18","1","Distribution of buckets","199,749.60","Dustbin/Buckets","No Issue","",""
"32B","17-18","2","Repairing of toilets","129,023.49","Toilet","No Issue","",""
"32B","17-18","3","Repairing of clinics","139,815.85","Buildings","No Issue","",""
"32B","17-18","4","Water proofing related work","104,812.46","Development work","No Issue","",""
"32B","17-18","5","Installation of benches","157,904.47","Benches","Resolved","Entry in the received info is not clear. Need double check.","Looks okay- Tanmay"
"32B","17-18","6","Installation of boards","125,329.64","Nameplates","Resolved","Entry in the received info is not clear. Need double check.","Looks okay- Tanmay"
"32B","17-18","7","Electricity related work","159,510.50","Electrification","No Issue","",""
"32B","17-18","8","Temple repairing work","157,701.19","Buildings","No Issue","",""
"32B","17-18","9","Distribution of toys in school","164,398.00","Education","Resolved","Code -???","Changed to education- Tanmay"
"32C","17-18","1","Distribution of buckets","199,987.00","Dustbin/Buckets","No Issue","",""
"32C","17-18","2","Repairing of toilets","125,883.31","Toilet","No Issue","",""
"32C","17-18","3","Picking up radar waste","137,687.00","Cleaning","No Issue","",""
