"YERAWADA - KALAS - DHANORI","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"1A","17-18","1","Benches","157,590.36","Benches","","",""
"1A","17-18","2","Jute bags ","200,000.00","Bags","","",""
"1A","17-18","3","Jute bags ","200,000.00","Bags","","",""
"1A","17-18","4","Nameplates","126,726.99","Nameplates","","",""
"1A","17-18","5","Colouring slogans","144,474.34","Decoration","","",""
"1A","17-18","6","Toilet repairs","158,499.07","Toilet","","",""
"1A","17-18","7","Colouring slogans","129,136.38","Decoration","","",""
"1B","17-18","1","Water dispenser","106,890.83","Water supply","","",""
"1B","17-18","2","Water dispenser","153,719.97","Water supply","","",""
"1B","17-18","3","Benches","200,000.00","Benches","","",""
"1B","17-18","4","Drainage works","137,402.29","Drainage","","",""
"1B","17-18","5","Nameplates","200,000.00","Nameplates","","",""
"1B","17-18","6","Gym equipments","200,000.00","Gym","","",""
"1C","17-18","1","Street lights","142,194.16","Electrification","","",""
"1C","17-18","2","Rada Roda cleaning work","145,595.58","Cleaning","","",""
"1C","17-18","3","Street lights","200,000.00","Electrification","","",""
"1C","17-18","4","Street lights","145,459.41","Electrification","","",""
"1C","17-18","5","Street lights","147,649.24","Electrification","","",""
"1C","17-18","6","Development works","145,067.67","Development work","","",""
"1C","17-18","7","Development works","92,752.75","Development work","","",""
"1C","17-18","8","Development works","90,278.57","Development work","","",""
"1C","17-18","9","Development works","200,000.00","Development work","","",""
"1C","17-18","10","Street lights","90,899.38","Electrification","","",""
"1C","17-18","11","Street lights","95,858.99","Electrification","","",""
"1D","17-18","1","Benches","200,000.00","Benches","","",""
"1D","17-18","2","Benches","200,000.00","Benches","","",""
"1D","17-18","3","Colouring slogans","125,441.47","Decoration","","",""
"1D","17-18","4","Footpath repairs","122,639.55","Footpath","","",""
"1D","17-18","5","Rada Roda cleaning work","129,353.78","Cleaning","","",""
"1D","17-18","6","Buckets for waste disposal","157,404.58","Waste disposal","","",""
"1D","17-18","7","Nameplates","128,651.53","Nameplates","","",""
"1D","17-18","8","Paver blocks","128,651.53","Pavement blocks","","",""
"1D","17-18","9","Jute bags ","992,142.44","Bags","","",""
"2A","17-18","1","Buckets for waste disposal","125,527.08","Waste disposal","","",""
"2A","17-18","2","Drainage works","133,429.41","Drainage","","",""
"2A","17-18","3","Toilet repairs","132,036.69","Toilet","","",""
"2A","17-18","4","Toilet repairs","200,000.00","Toilet","","",""
"2A","17-18","5","Rada Roda cleaning work","175,027.28","Cleaning","","",""
"2A","17-18","6","Dhakal gadi","200,000.00","Waste disposal","","",""
"2A","17-18","7","Benches","160,527.15","Benches","","",""
"2A","17-18","8","Benches","160,527.15","Benches","","",""
"2A","17-18","9","Cleaning material","142,562.49","Cleaning","","",""
"2A","17-18","10","Waste disposal shed","200,000.00","Waste disposal","","",""
"2A","17-18","11","Repair and maintenance","100,000.00","Maintenance","","",""
"2B","17-18","1","Drainage works","200,000.00","Drainage","","",""
"2B","17-18","2","Drainage works","200,000.00","Drainage","","",""
"2B","17-18","3","Toilet repairs","200,000.00","Toilet","","",""
"2B","17-18","4","Benches","200,000.00","Benches","","",""
"2B","17-18","5","Toilet repairs","136,610.40","Toilet","","",""
"2B","17-18","6","Benches","132,997.47","Benches","","",""
"2B","17-18","7","Water dispenser","133,463.37","Water supply","","",""
"2B","17-18","8","Water dispenser","136,929.06","Water supply","","",""
"2B","17-18","9","Canvas bags","152,616.14","Bags","","",""
"2B","17-18","10","Canvas bags","145,462.08","Bags","","",""
"2C","17-18","1","Nameplates","200,000.00","Nameplates","","",""
"2C","17-18","2","Nameplates","200,000.00","Nameplates","","",""
"2C","17-18","3","Steel bollards","200,000.00","Steel Bollards","","",""
"2C","17-18","4","Dhakal gadi","105,098.63","Waste disposal","","",""
"2C","17-18","5","Buckets for waste disposal","131,119.88","Waste disposal","","",""
"2C","17-18","6","Pedestrian crossings","90,446.56","Traffic","","",""
"2D","17-18","1","Buckets for waste disposal","200,000.00","Waste disposal","","",""
"2D","17-18","2","Footpath repairs","131,868.10","Footpath","","",""
"2D","17-18","3","Drainage works","129,247.70","Drainage","","",""
"2D","17-18","4","Benches","200,000.00","Benches","","",""
"2D","17-18","5","Benches","129,528.72","Benches","","",""
"2D","17-18","6","Benches","129,528.72","Benches","","",""
"2D","17-18","7","Repair and maintenance","140,866.13","Maintenance","","",""
"2D","17-18","8","Repair and maintenance","141,334.83","Maintenance","","",""
"2D","17-18","9","Repair and maintenance","200,000.00","Maintenance","","",""
"2D","17-18","10","Repair and maintenance","200,000.00","Maintenance","","",""
"6A","17-18","1","Water pipeline","176,250.57","Water supply","","",""
"6A","17-18","2","Toilet repairs","142,329.48","Toilet","","",""
"6A","17-18","3","Toilet repairs","140,887.91","Toilet","","",""
"6A","17-18","4","Toilet repairs","138,622.05","Toilet","","",""
"6A","17-18","5","Toilet repairs","130,752.99","Toilet","","",""
"6A","17-18","6","Toilet repairs","125,886.30","Toilet","","",""
"6A","17-18","7","Rada Roda cleaning work","200,000.00","Cleaning","","",""
"6A","17-18","8","Toilet repairs","135,888.60","Toilet","","",""
"6A","17-18","9","Drainage works","135,888.60","Drainage","","",""
"6A","17-18","10","Electrical works","129,081.55","Electrification","","",""
"6B","17-18","1","Water pipeline","177,668.83","Water supply","","",""
"6B","17-18","2","Drainage works","200,000.00","Drainage","","",""
"6B","17-18","3","Drainage works","200,000.00","Drainage","","",""
"6B","17-18","4","Drainage works","200,000.00","Drainage","","",""
"6B","17-18","5","Jute bags ","200,000.00","Bags","","",""
"6B","17-18","6","Jute bags ","200,000.00","Bags","","",""
"6B","17-18","7","Development works","195,351.24","Development work","","",""
"6B","17-18","8","Development works","189,272.30","Development work","","",""
"6B","17-18","9","Development works","189,734.00","Development work","","",""
"6C","17-18","1","Wiring and underground cables","158,204.80","Electrification","","",""
"6C","17-18","2","Wiring and underground cables","150,064.72","Electrification","","",""
"6C","17-18","3","Drainage works","133,609.24","Drainage","","",""
"6C","17-18","4","Concretization work","131,977.56","Concretization","","",""
"6C","17-18","5","Toilet repairs","172,830.55","Toilet","","",""
"6C","17-18","6","Samaj Mandir repairs","149,268.64","Buildings","","",""
"6C","17-18","7","Samaj Mandir repairs","149,597.76","Buildings","","",""
"6C","17-18","8","Samaj Mandir repairs","156,221.25","Buildings","","",""
"6C","17-18","9","Building shed","149,744.54","Buildings","","",""
"6C","17-18","10","Drainage works","133,326.94","Drainage","","",""
"6D","17-18","1","Work in crematorium","199,438.62","Cemetory / Crematorium","","",""
"6D","17-18","2","Toilet repairs","199,684.20","Toilet","","",""
"6D","17-18","3","Electrical works","200,000.00","Electrification","","",""
"6D","17-18","4","Decoration works","200,000.00","Decoration","","",""
"6D","17-18","5","Work in crematorium","145,728.77","Cemetory / Crematorium","","",""
"6D","17-18","6","Toilet repairs","197,574.27","Toilet","","",""
"6D","17-18","7","Furniture works","193,697.52","Furniture","","",""
"6D","17-18","8","Nameplates","157,654.74","Nameplates","","",""
"1A","18-19","1","Footpath repairs","197,954.30","Footpath","","",""
"1A","18-19","2","Colouring slogans","148,345.95","Decoration","","",""
"1A","18-19","3","Colouring slogans","148,351.04","Decoration","","",""
"1A","18-19","4","Theramaplastic paint","200,000.00","Traffic","","",""
"1A","18-19","5","Bags","200,000.00","Bags","","",""
"1A","18-19","6","Bags","200,000.00","Bags","","",""
"1A","18-19","7","Computers in school","172,113.70","Computers","","",""
"1A","18-19","8","Benches","200,000.00","Benches","","",""
"1A","18-19","8","Benches","200,000.00","Benches","","",""
"1B","18-19","1","Gym equipments","148,395.83","Gym","","",""
"1B","18-19","2","Gym equipments","149,669.76","Gym","","",""
"1B","18-19","3","Rada Roda cleaning work","151,496.58","Cleaning","","",""
"1B","18-19","4","Rada Roda cleaning work","75,048.29","Cleaning","","",""
"1B","18-19","5","Colouring slogans","148,482.58","Decoration","","",""
"1B","18-19","6","Drainage works","200,000.00","Drainage","","",""
"1B","18-19","7","Drainage works","200,000.00","Drainage","","",""
"1C","18-19","1","Drainage works","158,549.40","Drainage","","",""
"1C","18-19","2","Colouring work","157,831.62","Colouring","","",""
"1C","18-19","3","Toilet repairs","81,093.38","Toilet","","",""
"1C","18-19","4","Jute bags ","200,000.00","Bags","","",""
"1C","18-19","5","Jute bags ","200,000.00","Bags","","",""
"1C","18-19","6","Electrical works","200,000.00","Electrification","","",""
"1C","18-19","7","Electrical works","200,000.00","Electrification","","",""
"1C","18-19","8","Electrical works","200,000.00","Electrification","","",""
"1C","18-19","9","Electrical works","200,000.00","Electrification","","",""
"1C","18-19","10","Electrical works","200,000.00","Electrification","","",""
"1D","18-19","1","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","2","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","3","Jute bags ","200,000.00","Bags","","",""
"1D","18-19","4","Rada Roda cleaning work","156,470.08","Cleaning","","",""
"1D","18-19","5","Rada Roda cleaning work","156,470.08","Cleaning","","",""
"1D","18-19","6","Grass cutting machine","189,521.20","Garden","","",""
"1D","18-19","7","Electrical works","88,029.14","Electrification","","",""
"1D","18-19","8","Gym equipments","200,000.00","Gym","","",""
"2A","18-19","1","Toilet repairs","160,578.71","Toilet","","",""
"2A","18-19","2","Samaj Mandir repairs","160,507.13","Buildings","","",""
"2A","18-19","3","Drainage works","176,957.42","Drainage","","",""
"2A","18-19","4","Drainage works","179,165.28","Drainage","","",""
"2A","18-19","5","Rada Roda cleaning work","172,158.34","Cleaning","","",""
"2A","18-19","6","Toilet repairs","172,158.34","Toilet","","",""
"2A","18-19","7","benches","126,691.77","Benches","","",""
"2A","18-19","8","benches","200,000.00","Benches","","",""
"2A","18-19","9","Toilet repairs","104,835.22","Toilet","","",""
"2A","18-19","10","Jute bags ","100,000.00","Bags","","",""
"2A","18-19","11","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","1","Rada Roda cleaning work","165,785.46","Cleaning","","",""
"2B","18-19","2","Drainage works","150,619.94","Drainage","","",""
"2B","18-19","3","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","4","Jute bags ","200,000.00","Bags","","",""
"2B","18-19","5","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","1","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","2","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","3","Jute bags ","200,000.00","Bags","","",""
"2C","18-19","4","Jute bags ","200,000.00","Bags","","",""
